role,primary_file,current_path,sha256,release_version,official_status,why_primary,secondary_copies,required_for_analysis,required_for_repair,required_for_archive
CDF_DATA,anes_timeseries_cdf_stata_20260205.dta,D:\ANES数据集\anes_timeseries_cdf_stata_20260205\anes_timeseries_cdf_stata_20260205.dta,45323c30faee1e9e67c2351c4302c31472b117050bef240d9339a264e2f3e078,2026-02-05,OFFICIAL_LIKELY_NONBLOCKING,[A. REQUIRED_FOR_CURRENT_ANALYSIS] Directly readable primary CDF data; local hash matches the member extracted from the preserved Stata release ZIP.,1 byte-identical working copy in D:\ANES_Dissertation_Data\intermediate,YES,YES,YES
CDF_CODEBOOK,anes_timeseries_cdf_codebook_var_20260205.pdf,D:\ANES数据集\anes_timeseries_cdf_codebook_var_20260205.pdf,0dbaa80807abac50229dbdde66055b1756eaefe9cb9f6140ffc1938c134d5123,2026-02-05,OFFICIAL_LIKELY_NONBLOCKING,"[A. REQUIRED_FOR_CURRENT_ANALYSIS] Controls node wording, coding, source histories, VCF0110, VCF0009z and missing-value interpretation.","6 byte-identical copies across release-extraction, working, temporary and supplementary locations",YES,YES,YES
CDF_APPENDIX_WEIGHT_DOCUMENTATION,anes_timeseries_cdf_codebook_app_20260205.pdf,D:\ANES数据集\anes_timeseries_cdf_stata_20260205\anes_timeseries_cdf_codebook_app_20260205.pdf,c684966e0554c9949c9d1c604c6eba272e5ac03134ac57d20de507932dcae771,2026-02-05,OFFICIAL_LIKELY_NONBLOCKING,[A. REQUIRED_FOR_CURRENT_ANALYSIS] Primary appendix/weight documentation supporting the survey-design and weight record.,"5 byte-identical copies across CSV extraction, documentation, temporary and supplementary locations",YES,NO,YES
CDF_VARIABLE_INDEX,anes_timeseries_cdf_codebook_Varlist.pdf,D:\ANES数据集\anes_timeseries_cdf_codebook_Varlist.pdf,10a7313fdbf21acaeddea08907e252f469faea1c5f990a9f5f9d49c36cefb07d,Internal metadata 2025-12-09; release association unverified,OFFICIAL_LIKELY_NONBLOCKING,[C. REQUIRED_FOR_REPRODUCIBILITY_RECORD] One convenient variable index; it is not a substitute for the release Appendix or full codebook.,3 byte-identical working/staging/supplementary copies,NO,NO,YES
2024_STATA_DATA,anes_timeseries_2024_stata_20260519.dta,C:\Users\hua\AppData\Local\Temp\codex_anes_provenance_20260821\anes_timeseries_2024_stata_20260519\anes_timeseries_2024_stata_20260519.dta,8bc4a468be6560f3ca43412b859e7a7e26c65dbaede4d836cebb1448f1f036f6,2026-05-19,VERIFIED_OFFICIAL,[B. REQUIRED_FOR_R04_R05_PROVENANCE] Exact official 2024 readable artifact; its recorded expected SHA-256 was rechecked.,None,NO,YES,YES
2024_USER_GUIDE_CODEBOOK,anes_timeseries_2024_userguidecodebook_20260519.pdf,D:\ANES数据集\anes_timeseries_2024_userguidecodebook_20260519.pdf,fbad3417cc50b18977563e128f00dfd164ab1d50c5de694134fc57196436a799,2026-05-19,VERIFIED_OFFICIAL,"[A. REQUIRED_FOR_CURRENT_ANALYSIS] Exact official documentation for 2024 value labels, universes, structural inapplicability and mode information; also supports R/05.",2 byte-identical temporary release copies,YES,YES,YES
2024_QUESTIONNAIRE,anes_timeseries_2024_questionnaire_20240808.pdf,D:\ANES数据集\anes_timeseries_2024_questionnaire_20240808.pdf,c02a1ec0532b2e0eec31029e15a13ee18d6582edcbe1d64900c68cfe9e190950,Internal title 2025-08-08; filename token 20240808,VERIFIED_OFFICIAL,[B. REQUIRED_FOR_R04_R05_PROVENANCE] Exact official routing and mode evidence; the filename/date discrepancy is retained in provenance notes.,None,NO,YES,YES
2024_VARIABLE_LIST,anes_timeseries_2024_varlist_20260519.pdf,D:\ANES数据集\anes_timeseries_2024_varlist_20260519.pdf,cbf21fa38c1d895bfa01f8e9e6babb8542566391ba472b8b54db3117c5775aa9,2026-05-19,OFFICIAL_LIKELY_NONBLOCKING,[B. REQUIRED_FOR_R04_R05_PROVENANCE] Corroborates V242227 and V242228 labels and the 2024 release variable inventory.,None,NO,YES,YES
2024_CDF_RAW_MAPPING_AUDIT,ANES2024_CDF_RAW_MAPPING_CHECK.csv,C:\Users\hua\Desktop\ERP\data\audit\ANES2024_CDF_RAW_MAPPING_CHECK.csv,e6dbbe5488cf778f82e13cf587c18bd9b538517e283bc6e5c6cc782ad99cee4e,Project audit 2026-08,VERIFIED_DERIVED,[B. REQUIRED_FOR_R04_R05_PROVENANCE] Preserves the direct row-count/value agreement used to detect and resolve the V242228 mapping issue.,None,NO,YES,YES
2024_MINUS_ONE_PROVENANCE_AUDIT,FINAL_2024_MINUS_ONE_PROVENANCE_AUDIT.md,C:\Users\hua\Desktop\ERP\project_docs\working\FINAL_2024_MINUS_ONE_PROVENANCE_AUDIT.md,8fd94f061d7291c5307d2572635c137f6196368d2647eb79e241a4d87a73076b,Project audit 2026-08-21,VERIFIED_DERIVED,[B. REQUIRED_FOR_R04_R05_PROVENANCE] Controls the documented evidence chain for 2024 structural inapplicability and routing.,None,NO,YES,YES
