year,pair_index,node1,node2,node1_class,node2_class,correlation_type,determination_basis
2004,1,VCF0806,VCF0809,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,2,VCF0806,VCF0838,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,3,VCF0806,VCF0839,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,4,VCF0806,VCF0888,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,5,VCF0806,VCF0890,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,6,VCF0806,VCF0894,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,7,VCF0806,VCF0879a,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,8,VCF0806,VCF9223,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,9,VCF0809,VCF0838,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,10,VCF0809,VCF0839,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,11,VCF0809,VCF0888,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,12,VCF0809,VCF0890,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,13,VCF0809,VCF0894,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,14,VCF0809,VCF0879a,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,15,VCF0809,VCF9223,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,16,VCF0838,VCF0839,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,17,VCF0838,VCF0888,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,18,VCF0838,VCF0890,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,19,VCF0838,VCF0894,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,20,VCF0838,VCF0879a,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,21,VCF0838,VCF9223,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,22,VCF0839,VCF0888,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,23,VCF0839,VCF0890,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,24,VCF0839,VCF0894,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,25,VCF0839,VCF0879a,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,26,VCF0839,VCF9223,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,27,VCF0888,VCF0890,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,28,VCF0888,VCF0894,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,29,VCF0888,VCF0879a,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,30,VCF0888,VCF9223,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,31,VCF0890,VCF0894,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,32,VCF0890,VCF0879a,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,33,VCF0890,VCF9223,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,34,VCF0894,VCF0879a,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,35,VCF0894,VCF9223,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2004,36,VCF0879a,VCF9223,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2012,1,VCF0806,VCF0809,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2012,2,VCF0806,VCF0838,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2012,3,VCF0806,VCF0839,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2012,4,VCF0806,VCF0888,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2012,5,VCF0806,VCF0890,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
2012,6,VCF0806,VCF0894,ordered|factor,ordered|factor,polychoric,Input-determined audit: both variables are explicit ordered factors; qgraph::cor_auto/lavaan::lavCor do not return a pairwise type object
