year,pair_index,node1,node2,level1,level2,cell_n,pairwise_n,cell_proportion
2004,1,VCF0806,VCF0809,1,1,51,1032,0.0494186046511628
2004,1,VCF0806,VCF0809,2,1,20,1032,0.0193798449612403
2004,1,VCF0806,VCF0809,3,1,23,1032,0.0222868217054264
2004,1,VCF0806,VCF0809,4,1,10,1032,0.00968992248062015
2004,1,VCF0806,VCF0809,5,1,4,1032,0.00387596899224806
2004,1,VCF0806,VCF0809,6,1,1,1032,0.000968992248062015
2004,1,VCF0806,VCF0809,7,1,21,1032,0.0203488372093023
2004,1,VCF0806,VCF0809,1,2,18,1032,0.0174418604651163
2004,1,VCF0806,VCF0809,2,2,41,1032,0.0397286821705426
2004,1,VCF0806,VCF0809,3,2,38,1032,0.0368217054263566
2004,1,VCF0806,VCF0809,4,2,32,1032,0.0310077519379845
2004,1,VCF0806,VCF0809,5,2,17,1032,0.0164728682170543
2004,1,VCF0806,VCF0809,6,2,10,1032,0.00968992248062015
2004,1,VCF0806,VCF0809,7,2,10,1032,0.00968992248062015
2004,1,VCF0806,VCF0809,1,3,4,1032,0.00387596899224806
2004,1,VCF0806,VCF0809,2,3,24,1032,0.0232558139534884
2004,1,VCF0806,VCF0809,3,3,44,1032,0.0426356589147287
2004,1,VCF0806,VCF0809,4,3,43,1032,0.0416666666666667
2004,1,VCF0806,VCF0809,5,3,30,1032,0.0290697674418605
2004,1,VCF0806,VCF0809,6,3,21,1032,0.0203488372093023
2004,1,VCF0806,VCF0809,7,3,13,1032,0.0125968992248062
2004,1,VCF0806,VCF0809,1,4,9,1032,0.00872093023255814
2004,1,VCF0806,VCF0809,2,4,17,1032,0.0164728682170543
2004,1,VCF0806,VCF0809,3,4,27,1032,0.0261627906976744
2004,1,VCF0806,VCF0809,4,4,74,1032,0.0717054263565892
2004,1,VCF0806,VCF0809,5,4,35,1032,0.0339147286821705
2004,1,VCF0806,VCF0809,6,4,24,1032,0.0232558139534884
2004,1,VCF0806,VCF0809,7,4,27,1032,0.0261627906976744
2004,1,VCF0806,VCF0809,1,5,3,1032,0.00290697674418605
2004,1,VCF0806,VCF0809,2,5,5,1032,0.00484496124031008
2004,1,VCF0806,VCF0809,3,5,8,1032,0.00775193798449612
2004,1,VCF0806,VCF0809,4,5,18,1032,0.0174418604651163
2004,1,VCF0806,VCF0809,5,5,36,1032,0.0348837209302326
2004,1,VCF0806,VCF0809,6,5,37,1032,0.0358527131782946
2004,1,VCF0806,VCF0809,7,5,24,1032,0.0232558139534884
2004,1,VCF0806,VCF0809,1,6,0,1032,0
2004,1,VCF0806,VCF0809,2,6,3,1032,0.00290697674418605
2004,1,VCF0806,VCF0809,3,6,7,1032,0.00678294573643411
2004,1,VCF0806,VCF0809,4,6,10,1032,0.00968992248062015
2004,1,VCF0806,VCF0809,5,6,19,1032,0.0184108527131783
2004,1,VCF0806,VCF0809,6,6,22,1032,0.0213178294573643
2004,1,VCF0806,VCF0809,7,6,27,1032,0.0261627906976744
2004,1,VCF0806,VCF0809,1,7,8,1032,0.00775193798449612
2004,1,VCF0806,VCF0809,2,7,4,1032,0.00387596899224806
2004,1,VCF0806,VCF0809,3,7,6,1032,0.00581395348837209
2004,1,VCF0806,VCF0809,4,7,12,1032,0.0116279069767442
2004,1,VCF0806,VCF0809,5,7,3,1032,0.00290697674418605
2004,1,VCF0806,VCF0809,6,7,9,1032,0.00872093023255814
2004,1,VCF0806,VCF0809,7,7,83,1032,0.0804263565891473
2004,2,VCF0806,VCF0838,1,1,17,961,0.0176899063475546
2004,2,VCF0806,VCF0838,2,1,14,961,0.0145681581685744
2004,2,VCF0806,VCF0838,3,1,21,961,0.0218522372528616
2004,2,VCF0806,VCF0838,4,1,23,961,0.0239334027055151
2004,2,VCF0806,VCF0838,5,1,14,961,0.0145681581685744
2004,2,VCF0806,VCF0838,6,1,8,961,0.00832466181061395
2004,2,VCF0806,VCF0838,7,1,26,961,0.0270551508844953
2004,2,VCF0806,VCF0838,1,2,32,961,0.0332986472424558
2004,2,VCF0806,VCF0838,2,2,38,961,0.0395421436004162
2004,2,VCF0806,VCF0838,3,2,48,961,0.0499479708636837
2004,2,VCF0806,VCF0838,4,2,61,961,0.0634755463059313
2004,2,VCF0806,VCF0838,5,2,39,961,0.040582726326743
2004,2,VCF0806,VCF0838,6,2,41,961,0.0426638917793965
2004,2,VCF0806,VCF0838,7,2,41,961,0.0426638917793965
2004,2,VCF0806,VCF0838,1,3,6,961,0.00624349635796046
2004,2,VCF0806,VCF0838,2,3,16,961,0.0166493236212279
2004,2,VCF0806,VCF0838,3,3,24,961,0.0249739854318418
2004,2,VCF0806,VCF0838,4,3,35,961,0.036420395421436
2004,2,VCF0806,VCF0838,5,3,25,961,0.0260145681581686
2004,2,VCF0806,VCF0838,6,3,27,961,0.0280957336108221
2004,2,VCF0806,VCF0838,7,3,32,961,0.0332986472424558
2004,2,VCF0806,VCF0838,1,4,29,961,0.0301768990634755
2004,2,VCF0806,VCF0838,2,4,46,961,0.0478668054110302
2004,2,VCF0806,VCF0838,3,4,42,961,0.0437044745057232
2004,2,VCF0806,VCF0838,4,4,67,961,0.0697190426638918
2004,2,VCF0806,VCF0838,5,4,57,961,0.0593132154006244
2004,2,VCF0806,VCF0838,6,4,47,961,0.0489073881373569
2004,2,VCF0806,VCF0838,7,4,85,961,0.0884495317377732
2004,3,VCF0806,VCF0839,1,1,21,1004,0.0209163346613546
2004,3,VCF0806,VCF0839,2,1,9,1004,0.00896414342629482
2004,3,VCF0806,VCF0839,3,1,5,1004,0.0049800796812749
2004,3,VCF0806,VCF0839,4,1,4,1004,0.00398406374501992
2004,3,VCF0806,VCF0839,5,1,0,1004,0
2004,3,VCF0806,VCF0839,6,1,4,1004,0.00398406374501992
2004,3,VCF0806,VCF0839,7,1,6,1004,0.00597609561752988
2004,3,VCF0806,VCF0839,1,2,8,1004,0.00796812749003984
2004,3,VCF0806,VCF0839,2,2,17,1004,0.0169322709163347
2004,3,VCF0806,VCF0839,3,2,20,1004,0.0199203187250996
2004,3,VCF0806,VCF0839,4,2,6,1004,0.00597609561752988
2004,3,VCF0806,VCF0839,5,2,8,1004,0.00796812749003984
2004,3,VCF0806,VCF0839,6,2,3,1004,0.00298804780876494
2004,3,VCF0806,VCF0839,7,2,7,1004,0.00697211155378486
2004,3,VCF0806,VCF0839,1,3,18,1004,0.0179282868525896
2004,3,VCF0806,VCF0839,2,3,23,1004,0.0229083665338645
2004,3,VCF0806,VCF0839,3,3,27,1004,0.0268924302788845
2004,3,VCF0806,VCF0839,4,3,23,1004,0.0229083665338645
2004,3,VCF0806,VCF0839,5,3,10,1004,0.0099601593625498
2004,3,VCF0806,VCF0839,6,3,8,1004,0.00796812749003984
2004,3,VCF0806,VCF0839,7,3,6,1004,0.00597609561752988
2004,3,VCF0806,VCF0839,1,4,10,1004,0.0099601593625498
2004,3,VCF0806,VCF0839,2,4,32,1004,0.0318725099601594
2004,3,VCF0806,VCF0839,3,4,49,1004,0.048804780876494
2004,3,VCF0806,VCF0839,4,4,82,1004,0.0816733067729084
2004,3,VCF0806,VCF0839,5,4,38,1004,0.0378486055776892
2004,3,VCF0806,VCF0839,6,4,20,1004,0.0199203187250996
2004,3,VCF0806,VCF0839,7,4,32,1004,0.0318725099601594
2004,3,VCF0806,VCF0839,1,5,13,1004,0.0129482071713147
2004,3,VCF0806,VCF0839,2,5,16,1004,0.0159362549800797
2004,3,VCF0806,VCF0839,3,5,28,1004,0.0278884462151394
2004,3,VCF0806,VCF0839,4,5,47,1004,0.0468127490039841
2004,3,VCF0806,VCF0839,5,5,52,1004,0.051792828685259
