year,pair_index,node1,node2,pairwise_n,total_possible_cells,zero_cells,cells_1_to_4,cells_5_to_9,cells_10_plus,minimum_cell_n,maximum_cell_n,reporting_band_note
2004,1,VCF0806,VCF0809,1032,49,1,7,7,34,0,83,Descriptive bands only; not pass/fail thresholds
2004,2,VCF0806,VCF0838,961,28,0,0,2,26,6,85,Descriptive bands only; not pass/fail thresholds
2004,3,VCF0806,VCF0839,1004,49,1,4,13,31,0,82,Descriptive bands only; not pass/fail thresholds
2004,4,VCF0806,VCF0888,1104,21,0,4,2,15,2,151,Descriptive bands only; not pass/fail thresholds
2004,5,VCF0806,VCF0890,1104,21,0,2,2,17,1,190,Descriptive bands only; not pass/fail thresholds
2004,6,VCF0806,VCF0894,1097,21,0,0,0,21,15,124,Descriptive bands only; not pass/fail thresholds
2004,7,VCF0806,VCF0879a,963,21,0,0,3,18,6,94,Descriptive bands only; not pass/fail thresholds
2004,8,VCF0806,VCF9223,973,28,0,0,0,28,14,79,Descriptive bands only; not pass/fail thresholds
2004,9,VCF0809,VCF0838,956,28,0,1,1,26,3,70,Descriptive bands only; not pass/fail thresholds
2004,10,VCF0809,VCF0839,984,49,1,8,5,35,0,66,Descriptive bands only; not pass/fail thresholds
2004,11,VCF0809,VCF0888,1094,21,0,3,3,15,1,151,Descriptive bands only; not pass/fail thresholds
2004,12,VCF0809,VCF0890,1094,21,0,4,2,15,2,180,Descriptive bands only; not pass/fail thresholds
2004,13,VCF0809,VCF0894,1088,21,0,0,0,21,13,120,Descriptive bands only; not pass/fail thresholds
2004,14,VCF0809,VCF0879a,956,21,0,0,1,20,7,92,Descriptive bands only; not pass/fail thresholds
2004,15,VCF0809,VCF9223,968,28,0,0,0,28,11,89,Descriptive bands only; not pass/fail thresholds
2004,16,VCF0838,VCF0839,924,28,0,2,0,26,4,90,Descriptive bands only; not pass/fail thresholds
2004,17,VCF0838,VCF0888,1037,12,0,1,2,9,4,241,Descriptive bands only; not pass/fail thresholds
2004,18,VCF0838,VCF0890,1039,12,0,0,1,11,6,317,Descriptive bands only; not pass/fail thresholds
2004,19,VCF0838,VCF0894,1030,12,0,0,0,12,25,160,Descriptive bands only; not pass/fail thresholds
2004,20,VCF0838,VCF0879a,1030,12,0,0,0,12,10,171,Descriptive bands only; not pass/fail thresholds
2004,21,VCF0838,VCF9223,1042,16,0,0,0,16,16,175,Descriptive bands only; not pass/fail thresholds
