year,node1,node2,pairwise_n
2004,VCF0806,VCF0806,1112
2004,VCF0809,VCF0806,1032
2004,VCF0838,VCF0806,961
2004,VCF0839,VCF0806,1004
2004,VCF0888,VCF0806,1104
2004,VCF0890,VCF0806,1104
2004,VCF0894,VCF0806,1097
2004,VCF0879a,VCF0806,963
2004,VCF9223,VCF0806,973
2004,VCF0806,VCF0809,1032
2004,VCF0809,VCF0809,1103
2004,VCF0838,VCF0809,956
2004,VCF0839,VCF0809,984
2004,VCF0888,VCF0809,1094
2004,VCF0890,VCF0809,1094
2004,VCF0894,VCF0809,1088
2004,VCF0879a,VCF0809,956
2004,VCF9223,VCF0809,968
2004,VCF0806,VCF0838,961
2004,VCF0809,VCF0838,956
2004,VCF0838,VCF0838,1047
2004,VCF0839,VCF0838,924
2004,VCF0888,VCF0838,1037
2004,VCF0890,VCF0838,1039
2004,VCF0894,VCF0838,1030
2004,VCF0879a,VCF0838,1030
2004,VCF9223,VCF0838,1042
2004,VCF0806,VCF0839,1004
2004,VCF0809,VCF0839,984
2004,VCF0838,VCF0839,924
2004,VCF0839,VCF0839,1060
2004,VCF0888,VCF0839,1053
2004,VCF0890,VCF0839,1053
2004,VCF0894,VCF0839,1046
2004,VCF0879a,VCF0839,924
2004,VCF9223,VCF0839,936
2004,VCF0806,VCF0888,1104
2004,VCF0809,VCF0888,1094
2004,VCF0838,VCF0888,1037
2004,VCF0839,VCF0888,1053
2004,VCF0888,VCF0888,1198
2004,VCF0890,VCF0888,1191
2004,VCF0894,VCF0888,1185
2004,VCF0879a,VCF0888,1037
2004,VCF9223,VCF0888,1050
2004,VCF0806,VCF0890,1104
2004,VCF0809,VCF0890,1094
2004,VCF0838,VCF0890,1039
2004,VCF0839,VCF0890,1053
2004,VCF0888,VCF0890,1191
2004,VCF0890,VCF0890,1201
2004,VCF0894,VCF0890,1184
2004,VCF0879a,VCF0890,1040
2004,VCF9223,VCF0890,1053
2004,VCF0806,VCF0894,1097
2004,VCF0809,VCF0894,1088
2004,VCF0838,VCF0894,1030
2004,VCF0839,VCF0894,1046
2004,VCF0888,VCF0894,1185
2004,VCF0890,VCF0894,1184
2004,VCF0894,VCF0894,1190
2004,VCF0879a,VCF0894,1032
2004,VCF9223,VCF0894,1043
2004,VCF0806,VCF0879a,963
2004,VCF0809,VCF0879a,956
2004,VCF0838,VCF0879a,1030
2004,VCF0839,VCF0879a,924
2004,VCF0888,VCF0879a,1037
2004,VCF0890,VCF0879a,1040
2004,VCF0894,VCF0879a,1032
2004,VCF0879a,VCF0879a,1047
2004,VCF9223,VCF0879a,1043
2004,VCF0806,VCF9223,973
2004,VCF0809,VCF9223,968
2004,VCF0838,VCF9223,1042
2004,VCF0839,VCF9223,936
2004,VCF0888,VCF9223,1050
2004,VCF0890,VCF9223,1053
2004,VCF0894,VCF9223,1043
2004,VCF0879a,VCF9223,1043
2004,VCF9223,VCF9223,1059
2012,VCF0806,VCF0806,5471
2012,VCF0809,VCF0806,5177
2012,VCF0838,VCF0806,5428
2012,VCF0839,VCF0806,4994
2012,VCF0888,VCF0806,5432
2012,VCF0890,VCF0806,5448
2012,VCF0894,VCF0806,5424
2012,VCF0879a,VCF0806,5012
2012,VCF9223,VCF0806,5069
2012,VCF0806,VCF0809,5177
2012,VCF0809,VCF0809,5476
2012,VCF0838,VCF0809,5430
2012,VCF0839,VCF0809,4991
2012,VCF0888,VCF0809,5438
2012,VCF0890,VCF0809,5455
2012,VCF0894,VCF0809,5423
2012,VCF0879a,VCF0809,5027
2012,VCF9223,VCF0809,5074
2012,VCF0806,VCF0838,5428
2012,VCF0809,VCF0838,5430
2012,VCF0838,VCF0838,5855
2012,VCF0839,VCF0838,5200
2012,VCF0888,VCF0838,5816
2012,VCF0890,VCF0838,5833
2012,VCF0894,VCF0838,5803
2012,VCF0879a,VCF0838,5355
2012,VCF9223,VCF0838,5412
2012,VCF0806,VCF0839,4994
2012,VCF0809,VCF0839,4991
2012,VCF0838,VCF0839,5200
2012,VCF0839,VCF0839,5241
2012,VCF0888,VCF0839,5205
2012,VCF0890,VCF0839,5221
2012,VCF0894,VCF0839,5192
2012,VCF0879a,VCF0839,4822
2012,VCF9223,VCF0839,4864
2012,VCF0806,VCF0888,5432
2012,VCF0809,VCF0888,5438
2012,VCF0838,VCF0888,5816
2012,VCF0839,VCF0888,5205
2012,VCF0888,VCF0888,5861
2012,VCF0890,VCF0888,5851
2012,VCF0894,VCF0888,5817
2012,VCF0879a,VCF0888,5360
2012,VCF9223,VCF0888,5415
2012,VCF0806,VCF0890,5448
2012,VCF0809,VCF0890,5455
2012,VCF0838,VCF0890,5833
2012,VCF0839,VCF0890,5221
2012,VCF0888,VCF0890,5851
2012,VCF0890,VCF0890,5881
2012,VCF0894,VCF0890,5834
2012,VCF0879a,VCF0890,5375
2012,VCF9223,VCF0890,5432
2012,VCF0806,VCF0894,5424
2012,VCF0809,VCF0894,5423
2012,VCF0838,VCF0894,5803
2012,VCF0839,VCF0894,5192
2012,VCF0888,VCF0894,5817
2012,VCF0890,VCF0894,5834
2012,VCF0894,VCF0894,5848
2012,VCF0879a,VCF0894,5349
2012,VCF9223,VCF0894,5404
2012,VCF0806,VCF0879a,5012
2012,VCF0809,VCF0879a,5027
2012,VCF0838,VCF0879a,5355
2012,VCF0839,VCF0879a,4822
2012,VCF0888,VCF0879a,5360
