year,pair_index,node1,node2,pairwise_n
2004,1,VCF0806,VCF0809,1032
2004,2,VCF0806,VCF0838,961
2004,3,VCF0806,VCF0839,1004
2004,4,VCF0806,VCF0888,1104
2004,5,VCF0806,VCF0890,1104
2004,6,VCF0806,VCF0894,1097
2004,7,VCF0806,VCF0879a,963
2004,8,VCF0806,VCF9223,973
2004,9,VCF0809,VCF0838,956
2004,10,VCF0809,VCF0839,984
2004,11,VCF0809,VCF0888,1094
2004,12,VCF0809,VCF0890,1094
2004,13,VCF0809,VCF0894,1088
2004,14,VCF0809,VCF0879a,956
2004,15,VCF0809,VCF9223,968
2004,16,VCF0838,VCF0839,924
2004,17,VCF0838,VCF0888,1037
2004,18,VCF0838,VCF0890,1039
2004,19,VCF0838,VCF0894,1030
2004,20,VCF0838,VCF0879a,1030
2004,21,VCF0838,VCF9223,1042
2004,22,VCF0839,VCF0888,1053
2004,23,VCF0839,VCF0890,1053
2004,24,VCF0839,VCF0894,1046
2004,25,VCF0839,VCF0879a,924
2004,26,VCF0839,VCF9223,936
2004,27,VCF0888,VCF0890,1191
2004,28,VCF0888,VCF0894,1185
2004,29,VCF0888,VCF0879a,1037
2004,30,VCF0888,VCF9223,1050
2004,31,VCF0890,VCF0894,1184
2004,32,VCF0890,VCF0879a,1040
2004,33,VCF0890,VCF9223,1053
2004,34,VCF0894,VCF0879a,1032
2004,35,VCF0894,VCF9223,1043
2004,36,VCF0879a,VCF9223,1043
2012,1,VCF0806,VCF0809,5177
2012,2,VCF0806,VCF0838,5428
2012,3,VCF0806,VCF0839,4994
2012,4,VCF0806,VCF0888,5432
2012,5,VCF0806,VCF0890,5448
2012,6,VCF0806,VCF0894,5424
2012,7,VCF0806,VCF0879a,5012
2012,8,VCF0806,VCF9223,5069
2012,9,VCF0809,VCF0838,5430
2012,10,VCF0809,VCF0839,4991
2012,11,VCF0809,VCF0888,5438
2012,12,VCF0809,VCF0890,5455
2012,13,VCF0809,VCF0894,5423
2012,14,VCF0809,VCF0879a,5027
2012,15,VCF0809,VCF9223,5074
2012,16,VCF0838,VCF0839,5200
2012,17,VCF0838,VCF0888,5816
2012,18,VCF0838,VCF0890,5833
2012,19,VCF0838,VCF0894,5803
2012,20,VCF0838,VCF0879a,5355
2012,21,VCF0838,VCF9223,5412
2012,22,VCF0839,VCF0888,5205
2012,23,VCF0839,VCF0890,5221
2012,24,VCF0839,VCF0894,5192
2012,25,VCF0839,VCF0879a,4822
2012,26,VCF0839,VCF9223,4864
2012,27,VCF0888,VCF0890,5851
2012,28,VCF0888,VCF0894,5817
2012,29,VCF0888,VCF0879a,5360
2012,30,VCF0888,VCF9223,5415
2012,31,VCF0890,VCF0894,5834
2012,32,VCF0890,VCF0879a,5375
2012,33,VCF0890,VCF9223,5432
2012,34,VCF0894,VCF0879a,5349
2012,35,VCF0894,VCF9223,5404
2012,36,VCF0879a,VCF9223,5372
2016,1,VCF0806,VCF0809,3500
2016,2,VCF0806,VCF0838,3722
2016,3,VCF0806,VCF0839,3367
2016,4,VCF0806,VCF0888,3754
2016,5,VCF0806,VCF0890,3752
2016,6,VCF0806,VCF0894,3737
2016,7,VCF0806,VCF0879a,3219
2016,8,VCF0806,VCF9223,3230
2016,9,VCF0809,VCF0838,3731
2016,10,VCF0809,VCF0839,3391
2016,11,VCF0809,VCF0888,3766
2016,12,VCF0809,VCF0890,3763
2016,13,VCF0809,VCF0894,3751
2016,14,VCF0809,VCF0879a,3235
2016,15,VCF0809,VCF9223,3245
2016,16,VCF0838,VCF0839,3585
2016,17,VCF0838,VCF0888,4198
2016,18,VCF0838,VCF0890,4197
2016,19,VCF0838,VCF0894,4179
2016,20,VCF0838,VCF0879a,3580
2016,21,VCF0838,VCF9223,3586
2016,22,VCF0839,VCF0888,3617
2016,23,VCF0839,VCF0890,3616
2016,24,VCF0839,VCF0894,3602
2016,25,VCF0839,VCF0879a,3113
2016,26,VCF0839,VCF9223,3124
2016,27,VCF0888,VCF0890,4236
2016,28,VCF0888,VCF0894,4223
2016,29,VCF0888,VCF0879a,3613
2016,30,VCF0888,VCF9223,3620
2016,31,VCF0890,VCF0894,4218
2016,32,VCF0890,VCF0879a,3612
2016,33,VCF0890,VCF9223,3620
2016,34,VCF0894,VCF0879a,3599
2016,35,VCF0894,VCF9223,3606
2016,36,VCF0879a,VCF9223,3609
2020,1,VCF0806,VCF0809,6862
2020,2,VCF0806,VCF0838,7038
2020,3,VCF0806,VCF0839,6605
2020,4,VCF0806,VCF0888,7316
2020,5,VCF0806,VCF0890,7337
2020,6,VCF0806,VCF0894,7318
2020,7,VCF0806,VCF0879a,6577
2020,8,VCF0806,VCF9223,6610
2020,9,VCF0809,VCF0838,7016
2020,10,VCF0809,VCF0839,6562
2020,11,VCF0809,VCF0888,7291
2020,12,VCF0809,VCF0890,7307
2020,13,VCF0809,VCF0894,7289
2020,14,VCF0809,VCF0879a,6545
2020,15,VCF0809,VCF9223,6578
2020,16,VCF0838,VCF0839,6761
2020,17,VCF0838,VCF0888,7865
2020,18,VCF0838,VCF0890,7885
2020,19,VCF0838,VCF0894,7864
2020,20,VCF0838,VCF0879a,7038
2020,21,VCF0838,VCF9223,7072
2020,22,VCF0839,VCF0888,7037
2020,23,VCF0839,VCF0890,7056
2020,24,VCF0839,VCF0894,7037
2020,25,VCF0839,VCF0879a,6347
2020,26,VCF0839,VCF9223,6376
2020,27,VCF0888,VCF0890,8216
2020,28,VCF0888,VCF0894,8192
2020,29,VCF0888,VCF0879a,7317
2020,30,VCF0888,VCF9223,7355
2020,31,VCF0890,VCF0894,8213
2020,32,VCF0890,VCF0879a,7333
2020,33,VCF0890,VCF9223,7372
2020,34,VCF0894,VCF0879a,7314
2020,35,VCF0894,VCF9223,7351
2020,36,VCF0879a,VCF9223,7341
2024,1,VCF0806,VCF0809,4466
2024,2,VCF0806,VCF0838,4557
2024,3,VCF0806,VCF0839,4313
2024,4,VCF0806,VCF0888,4762
2024,5,VCF0806,VCF0890,4763
2024,6,VCF0806,VCF0894,4738
2024,7,VCF0806,VCF0879a,4287
2024,8,VCF0806,VCF9223,4306
2024,9,VCF0809,VCF0838,4521
2024,10,VCF0809,VCF0839,4293
2024,11,VCF0809,VCF0888,4725
2024,12,VCF0809,VCF0890,4729
2024,13,VCF0809,VCF0894,4711
2024,14,VCF0809,VCF0879a,4257
2024,15,VCF0809,VCF9223,4278
2024,16,VCF0838,VCF0839,4348
2024,17,VCF0838,VCF0888,5004
2024,18,VCF0838,VCF0890,5007
2024,19,VCF0838,VCF0894,4986
2024,20,VCF0838,VCF0879a,4485
2024,21,VCF0838,VCF9223,4504
2024,22,VCF0839,VCF0888,4556
2024,23,VCF0839,VCF0890,4559
2024,24,VCF0839,VCF0894,4544
2024,25,VCF0839,VCF0879a,4271
2024,26,VCF0839,VCF9223,4135
2024,27,VCF0888,VCF0890,5235
2024,28,VCF0888,VCF0894,5209
2024,29,VCF0888,VCF0879a,4685
2024,30,VCF0888,VCF9223,4704
2024,31,VCF0890,VCF0894,5212
2024,32,VCF0890,VCF0879a,4685
2024,33,VCF0890,VCF9223,4705
2024,34,VCF0894,VCF0879a,4669
2024,35,VCF0894,VCF9223,4686
2024,36,VCF0879a,VCF9223,4697
