"Election_year","Node_1","Node_2","Pair_N","Total_cells","Cells_0","Cells_1_4","Cells_5_9","Cells_10_plus","Minimum_cell","Pair_with_zero","Pair_with_1_4","Pair_with_5_9"
2004,"VCF0806","VCF0809",789,49,2,9,9,29,0,1,1,1
2004,"VCF0806","VCF0838",789,28,0,0,2,26,5,0,0,1
2004,"VCF0806","VCF0839",789,49,1,7,16,25,0,1,1,1
2004,"VCF0806","VCF0879a",789,21,0,0,3,18,5,0,0,1
2004,"VCF0806","VCF0888",789,21,0,5,1,15,1,0,1,1
2004,"VCF0806","VCF0890",789,21,0,4,3,14,1,0,1,1
2004,"VCF0806","VCF0894",789,21,0,0,1,20,9,0,0,1
2004,"VCF0806","VCF9223",789,28,0,0,0,28,12,0,0,0
2004,"VCF0809","VCF0838",789,28,0,2,0,26,1,0,1,0
2004,"VCF0809","VCF0839",789,49,2,7,11,29,0,1,1,1
2004,"VCF0809","VCF0879a",789,21,0,0,1,20,5,0,0,1
2004,"VCF0809","VCF0888",789,21,0,5,2,14,1,0,1,1
2004,"VCF0809","VCF0890",789,21,0,4,4,13,1,0,1,1
2004,"VCF0809","VCF0894",789,21,0,0,1,20,7,0,0,1
2004,"VCF0809","VCF9223",789,28,0,0,1,27,8,0,0,1
2004,"VCF0838","VCF0839",789,28,1,1,1,25,0,1,1,1
2004,"VCF0838","VCF0879a",789,12,0,0,0,12,10,0,0,0
2004,"VCF0838","VCF0888",789,12,0,1,2,9,2,0,1,1
2004,"VCF0838","VCF0890",789,12,0,0,2,10,6,0,0,1
2004,"VCF0838","VCF0894",789,12,0,0,0,12,17,0,0,0
2004,"VCF0838","VCF9223",789,16,0,0,0,16,12,0,0,0
2004,"VCF0839","VCF0879a",789,21,0,0,3,18,5,0,0,1
2004,"VCF0839","VCF0888",789,21,0,5,2,14,1,0,1,1
2004,"VCF0839","VCF0890",789,21,0,4,2,15,1,0,1,1
2004,"VCF0839","VCF0894",789,21,0,1,3,17,2,0,1,1
2004,"VCF0839","VCF9223",789,28,0,0,3,25,6,0,0,1
2004,"VCF0879a","VCF0888",789,9,0,1,0,8,4,0,1,0
2004,"VCF0879a","VCF0890",789,9,0,0,1,8,7,0,0,1
2004,"VCF0879a","VCF0894",789,9,0,0,0,9,25,0,0,0
2004,"VCF0879a","VCF9223",789,12,0,1,0,11,4,0,1,0
2004,"VCF0888","VCF0890",789,9,0,0,2,7,5,0,0,1
2004,"VCF0888","VCF0894",789,9,0,1,0,8,4,0,1,0
2004,"VCF0888","VCF9223",789,12,0,1,2,9,2,0,1,1
2004,"VCF0890","VCF0894",789,9,0,1,1,7,1,0,1,1
2004,"VCF0890","VCF9223",789,12,0,1,1,10,4,0,1,1
2004,"VCF0894","VCF9223",789,12,0,0,0,12,26,0,0,0
2012,"VCF0806","VCF0809",4353,49,0,0,0,49,14,0,0,0
2012,"VCF0806","VCF0838",4353,28,0,0,0,28,29,0,0,0
2012,"VCF0806","VCF0839",4353,49,0,1,2,46,3,0,1,1
2012,"VCF0806","VCF0879a",4353,21,0,0,0,21,60,0,0,0
2012,"VCF0806","VCF0888",4353,21,0,0,0,21,25,0,0,0
2012,"VCF0806","VCF0890",4353,21,0,0,0,21,15,0,0,0
2012,"VCF0806","VCF0894",4353,21,0,0,0,21,31,0,0,0
2012,"VCF0806","VCF9223",4353,28,0,0,0,28,64,0,0,0
2012,"VCF0809","VCF0838",4353,28,0,0,0,28,32,0,0,0
2012,"VCF0809","VCF0839",4353,49,0,1,1,47,4,0,1,1
