year,sample,variable_1,variable_2,n,cells,zero_cells,minimum_positive_cell,cells_below_5,sparse_contingency_warning
2008,overall,VCF0806,VCF0809,724,49,1,1,12,ZERO CELLS
2008,overall,VCF0806,VCF0838,724,28,0,8,0,NONE
2008,overall,VCF0806,VCF0839,724,49,1,1,11,ZERO CELLS
2008,overall,VCF0806,VCF0888,724,21,0,2,5,CELLS BELOW 5
2008,overall,VCF0806,VCF0890,724,21,0,1,3,CELLS BELOW 5
2008,overall,VCF0806,VCF0894,724,21,0,10,0,NONE
2008,overall,VCF0806,VCF0879a,724,21,0,6,0,NONE
2008,overall,VCF0806,VCF9223,724,28,0,6,0,NONE
2008,overall,VCF0809,VCF0838,724,28,0,5,0,NONE
2008,overall,VCF0809,VCF0839,724,49,2,1,8,ZERO CELLS
2008,overall,VCF0809,VCF0888,724,21,0,3,4,CELLS BELOW 5
2008,overall,VCF0809,VCF0890,724,21,0,2,4,CELLS BELOW 5
2008,overall,VCF0809,VCF0894,724,21,0,9,0,NONE
2008,overall,VCF0809,VCF0879a,724,21,0,14,0,NONE
2008,overall,VCF0809,VCF9223,724,28,0,13,0,NONE
2008,overall,VCF0838,VCF0839,724,28,0,1,2,CELLS BELOW 5
2008,overall,VCF0838,VCF0888,724,12,0,3,1,CELLS BELOW 5
2008,overall,VCF0838,VCF0890,724,12,0,5,0,NONE
2008,overall,VCF0838,VCF0894,724,12,0,24,0,NONE
2008,overall,VCF0838,VCF0879a,724,12,0,14,0,NONE
2008,overall,VCF0838,VCF9223,724,16,0,15,0,NONE
2008,overall,VCF0839,VCF0888,724,21,1,2,4,ZERO CELLS
2008,overall,VCF0839,VCF0890,724,21,1,2,4,ZERO CELLS
2008,overall,VCF0839,VCF0894,724,21,0,2,2,CELLS BELOW 5
2008,overall,VCF0839,VCF0879a,724,21,0,5,0,NONE
2008,overall,VCF0839,VCF9223,724,28,0,5,0,NONE
2008,overall,VCF0888,VCF0890,724,9,0,5,0,NONE
2008,overall,VCF0888,VCF0894,724,9,0,11,0,NONE
2008,overall,VCF0888,VCF0879a,724,9,0,10,0,NONE
2008,overall,VCF0888,VCF9223,724,12,0,8,0,NONE
2008,overall,VCF0890,VCF0894,724,9,0,3,1,CELLS BELOW 5
2008,overall,VCF0890,VCF0879a,724,9,0,9,0,NONE
2008,overall,VCF0890,VCF9223,724,12,0,7,0,NONE
2008,overall,VCF0894,VCF0879a,724,9,0,30,0,NONE
2008,overall,VCF0894,VCF9223,724,12,0,31,0,NONE
2008,overall,VCF0879a,VCF9223,724,12,0,14,0,NONE
2008,no_college,VCF0806,VCF0809,542,49,1,1,13,ZERO CELLS
2008,no_college,VCF0806,VCF0838,542,28,0,7,0,NONE
2008,no_college,VCF0806,VCF0839,542,49,1,1,14,ZERO CELLS
2008,no_college,VCF0806,VCF0888,542,21,2,1,6,ZERO CELLS
