year,step,component,n,loss_from_previous,loss_from_total,percent_of_total,formal_valid_codes,excluded_non_substantive_codes,notes
2008,total_sample,VCF0004,2322,0,0,100,2008,none,All cumulative-file respondents in the year.
2008,individual_node_valid,VCF0806,1044,,1278,44.9612403100775,1;2;3;4;5;6;7,0;9,Substantive valid codes only; DK/NA/RF/INAP/not-asked codes excluded.
2008,individual_node_valid,VCF0809,1024,,1298,44.0999138673557,1;2;3;4;5;6;7,0;9,Substantive valid codes only; DK/NA/RF/INAP/not-asked codes excluded.
2008,individual_node_valid,VCF0838,1031,,1291,44.4013781223084,1;2;3;4,0;9,Substantive valid codes only; DK/NA/RF/INAP/not-asked codes excluded.
2008,individual_node_valid,VCF0839,953,,1369,41.0422049956934,1;2;3;4;5;6;7,0;9,Substantive valid codes only; DK/NA/RF/INAP/not-asked codes excluded.
2008,individual_node_valid,VCF0888,2290,,32,98.6218776916451,1;2;3,8;9,Substantive valid codes only; DK/NA/RF/INAP/not-asked codes excluded.
2008,individual_node_valid,VCF0890,2295,,27,98.8372093023256,1;2;3,8;9,Substantive valid codes only; DK/NA/RF/INAP/not-asked codes excluded.
2008,individual_node_valid,VCF0894,2275,,47,97.9758828596038,1;2;3,8;9,Substantive valid codes only; DK/NA/RF/INAP/not-asked codes excluded.
2008,individual_node_valid,VCF0879a,2061,,261,88.7596899224806,1;3;5,8;9,Substantive valid codes only; DK/NA/RF/INAP/not-asked codes excluded.
2008,individual_node_valid,VCF9223,2082,,240,89.6640826873385,1;2;3;4,-8;-9,Substantive valid codes only; DK/NA/RF/INAP/not-asked codes excluded.
2008,all_9_nodes_complete,VCF0806+VCF0809+VCF0838+VCF0839+VCF0888+VCF0890+VCF0894+VCF0879a+VCF9223,724,1598,1598,31.1800172265289,See node rows,See node rows,Same respondents have substantive valid values on all nine policy nodes.
2008,all_9_nodes_plus_valid_education,VCF0110,721,3,1601,31.0508182601206,1;2;3;4,0,All nine nodes complete and VCF0110 in codes 1-4.
2008,education_option_A_no_college,VCF0110=1-3,542,,1780,23.3419465977606,1;2;3,0;4,Subset of all-nine-plus-education cases; not a missingness-loss step.
2008,education_option_A_college_plus,VCF0110=4,179,,2143,7.70887166236004,4,0;1;2;3,Subset of all-nine-plus-education cases; not a missingness-loss step.
