year,variable_name,measurement_status,source_variable,short_label,full_question_wording,response_scale,number_categories,original_codes,asked_this_year,valid_n,structural_missing,wording_change,scale_change,coding_change,survey_mode,category_sparsity,cross_wave_comparability,official_codebook_source,codebook_evidence,notes_final,attitude_domain,substantive_direction,respondent_missing_n,comparability_problem,notes
2004,VCF0806,ACCEPTABLE WITH SENSITIVITY,V043150,Government health insurance scale,"costs. Some (1988,1994-LATER: people) feel there should be a government insurance plan which would cover all medical and hospital expenses (1984 AND LATER: for everyone). (1996,2004: Suppose these people are at one end of a scale, at point 1). Others feel that (1988,1994-1996: all) medical expenses should be paid by individuals, and through private insurance (1984 AND LATER: plans) like Blue Cross (1984-1994: or [1996:some] other company paid plans). (1996,2004: Suppose these people are at the other end, at point 7. And of course, some people have opinions somewhere in between at points 2,3,4,5 or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Private insurance plan 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,1112,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0881; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346); asked_this_year=Yes; valid_n=1112; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",healthcare,1=Government plan to 7=Private plan,100,2008 split; 2000 telephone,"Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2008,VCF0806,QUESTIONABLE,V083119,Government health insurance scale,"costs. Some (1988,1994-LATER: people) feel there should be a government insurance plan which would cover all medical and hospital expenses (1984 AND LATER: for everyone). (1996,2004: Suppose these people are at one end of a scale, at point 1). Others feel that (1988,1994-1996: all) medical expenses should be paid by individuals, and through private insurance (1984 AND LATER: plans) like Blue Cross (1984-1994: or [1996:some] other company paid plans). (1996,2004: Suppose these people are at the other end, at point 7. And of course, some people have opinions somewhere in between at points 2,3,4,5 or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Private insurance plan 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,1044,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0862; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346); asked_this_year=Yes; valid_n=1044; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9",2008 random OLD/NEW split-form assignment is recorded in the official codebook audit; primary comparison requires restricted-form sensitivity or exclusion.,healthcare,1=Government plan to 7=Private plan,1278,2008 split; 2000 telephone,"Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2012,VCF0806,ACCEPTABLE WITH SENSITIVITY,inspre_self,Government health insurance scale,"costs. Some (1988,1994-LATER: people) feel there should be a government insurance plan which would cover all medical and hospital expenses (1984 AND LATER: for everyone). (1996,2004: Suppose these people are at one end of a scale, at point 1). Others feel that (1988,1994-1996: all) medical expenses should be paid by individuals, and through private insurance (1984 AND LATER: plans) like Blue Cross (1984-1994: or [1996:some] other company paid plans). (1996,2004: Suppose these people are at the other end, at point 7. And of course, some people have opinions somewhere in between at points 2,3,4,5 or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Private insurance plan 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,5471,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1119; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346); asked_this_year=Yes; valid_n=5471; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",healthcare,1=Government plan to 7=Private plan,443,2008 split; 2000 telephone,"Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2016,VCF0806,ACCEPTABLE WITH SENSITIVITY,V161184,Government health insurance scale,"costs. Some (1988,1994-LATER: people) feel there should be a government insurance plan which would cover all medical and hospital expenses (1984 AND LATER: for everyone). (1996,2004: Suppose these people are at one end of a scale, at point 1). Others feel that (1988,1994-1996: all) medical expenses should be paid by individuals, and through private insurance (1984 AND LATER: plans) like Blue Cross (1984-1994: or [1996:some] other company paid plans). (1996,2004: Suppose these people are at the other end, at point 7. And of course, some people have opinions somewhere in between at points 2,3,4,5 or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Private insurance plan 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,3765,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1033; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346); asked_this_year=Yes; valid_n=3765; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",healthcare,1=Government plan to 7=Private plan,505,2008 split; 2000 telephone,"Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2020,VCF0806,ACCEPTABLE WITH SENSITIVITY,V201252,Government health insurance scale,"costs. Some (1988,1994-LATER: people) feel there should be a government insurance plan which would cover all medical and hospital expenses (1984 AND LATER: for everyone). (1996,2004: Suppose these people are at one end of a scale, at point 1). Others feel that (1988,1994-1996: all) medical expenses should be paid by individuals, and through private insurance (1984 AND LATER: plans) like Blue Cross (1984-1994: or [1996:some] other company paid plans). (1996,2004: Suppose these people are at the other end, at point 7. And of course, some people have opinions somewhere in between at points 2,3,4,5 or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Private insurance plan 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,7352,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0963; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346); asked_this_year=Yes; valid_n=7352; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",healthcare,1=Government plan to 7=Private plan,928,2008 split; 2000 telephone,"Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2024,VCF0806,ACCEPTABLE WITH SENSITIVITY,V241245,Government health insurance scale,"costs. Some (1988,1994-LATER: people) feel there should be a government insurance plan which would cover all medical and hospital expenses (1984 AND LATER: for everyone). (1996,2004: Suppose these people are at one end of a scale, at point 1). Others feel that (1988,1994-1996: all) medical expenses should be paid by individuals, and through private insurance (1984 AND LATER: plans) like Blue Cross (1984-1994: or [1996:some] other company paid plans). (1996,2004: Suppose these people are at the other end, at point 7. And of course, some people have opinions somewhere in between at points 2,3,4,5 or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Private insurance plan 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,4778,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0917; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 346); asked_this_year=Yes; valid_n=4778; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=-1,0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",healthcare,1=Government plan to 7=Private plan,498,2008 split; 2000 telephone,"Codebook source years=1970,1972,1976,1978,1984,1988,1992,1994,1996,2000,2004,2008,2012,2016,2020,2024; observed raw categories=-1,0,1,2,3,4,5,6,7,9"
2004,VCF0809,ACCEPTABLE WITH SENSITIVITY,V043152,Guaranteed jobs and income scale,"that every person has a job and a good standard of living. (1972- 1978,1996-LATER: Suppose these people are at one end of a scale, at point 1). Others think the government should just let each person get ahead on his/their own. (1972-1978,1996: Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at pints 2,3,4,5 or 6.) 344 VARIABLE DESCRIPTION Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Government let each person get ahead on his own 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,1103,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0834; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347); asked_this_year=Yes; valid_n=1103; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",jobs/income,1=Government guarantee to 7=individual advancement,109,2008 split; 2000 telephone,"Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,4,5,6,7,9"
2008,VCF0809,QUESTIONABLE,V083128,Guaranteed jobs and income scale,"that every person has a job and a good standard of living. (1972- 1978,1996-LATER: Suppose these people are at one end of a scale, at point 1). Others think the government should just let each person get ahead on his/their own. (1972-1978,1996: Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at pints 2,3,4,5 or 6.) 344 VARIABLE DESCRIPTION Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Government let each person get ahead on his own 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,1024,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0996; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347); asked_this_year=Yes; valid_n=1024; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9",2008 random OLD/NEW split-form assignment is recorded in the official codebook audit; primary comparison requires restricted-form sensitivity or exclusion.,jobs/income,1=Government guarantee to 7=individual advancement,1298,2008 split; 2000 telephone,"Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2012,VCF0809,ACCEPTABLE WITH SENSITIVITY,guarpr_self,Guaranteed jobs and income scale,"that every person has a job and a good standard of living. (1972- 1978,1996-LATER: Suppose these people are at one end of a scale, at point 1). Others think the government should just let each person get ahead on his/their own. (1972-1978,1996: Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at pints 2,3,4,5 or 6.) 344 VARIABLE DESCRIPTION Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Government let each person get ahead on his own 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,5476,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0979; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347); asked_this_year=Yes; valid_n=5476; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",jobs/income,1=Government guarantee to 7=individual advancement,438,2008 split; 2000 telephone,"Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2016,VCF0809,ACCEPTABLE WITH SENSITIVITY,V161189,Guaranteed jobs and income scale,"that every person has a job and a good standard of living. (1972- 1978,1996-LATER: Suppose these people are at one end of a scale, at point 1). Others think the government should just let each person get ahead on his/their own. (1972-1978,1996: Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at pints 2,3,4,5 or 6.) 344 VARIABLE DESCRIPTION Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Government let each person get ahead on his own 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,3773,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0864; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347); asked_this_year=Yes; valid_n=3773; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",jobs/income,1=Government guarantee to 7=individual advancement,497,2008 split; 2000 telephone,"Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
