"Component","Status"
"Input inventory and upstream gates","COMPLETE_AND_VALIDATED"
"Primary five-wave result assembly","COMPLETE_AND_VALIDATED"
"Education-group result assembly","COMPLETE_AND_VALIDATED"
"Sensitivity result assembly","COMPLETE_AND_VALIDATED"
"Claim-to-output registry","COMPLETE_AND_VALIDATED"
"Method citation register","COMPLETE_AND_VALIDATED"
"Not-in-Zotero register","COMPLETE_AND_VALIDATED"
"Final table manifest","COMPLETE_AND_VALIDATED"
"Final figure manifest and byte-identity check","COMPLETE_AND_VALIDATED"
"Package/session/renv record","COMPLETE_AND_VALIDATED"
"Step 10 validation","COMPLETE_AND_VALIDATED"
"Independent Step 10 audit","COMPLETE_AND_VALIDATED"
"Dissertation Results prose","NOT_WRITTEN_STEP10_IS_EVIDENCE_ASSEMBLY_ONLY"
"Network re-estimation","NOT_RUN_PROHIBITED_IN_STEP10"
