"Figure_ID","Source_path","Final_path","Figure_role","Required_caption_boundary","Bytes","Source_SHA256","Final_SHA256","Byte_identical"
"FIG10_01","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08_overall_networks_five_wave_panel.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08_overall_networks_five_wave_panel.png","MAIN_CANDIDATE_OVERALL_NETWORK_PANEL","Repeated cross-sectional ANES analysis samples; descriptive conditional associations; common layout and scale; no NCT.",129003,"07dad3b5abbb338afb5a9687fc0167d1645d349cb49032e10cf27891fae7621a","07dad3b5abbb338afb5a9687fc0167d1645d349cb49032e10cf27891fae7621a",TRUE
"FIG10_02","D:/ANES_code/ANES_dissertation/outputs/figures/formal/07A_edge_accuracy_2004.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_07A_edge_accuracy_2004.png","SUPPLEMENTARY_EDGE_ACCURACY","Within-wave percentile uncertainty; interval inclusion of zero is not a second edge-selection rule.",46858,"dc858b062e7a3b825c89ef4fc90098b3b068526b8f96a2ae27316f9a3a761c9c","dc858b062e7a3b825c89ef4fc90098b3b068526b8f96a2ae27316f9a3a761c9c",TRUE
"FIG10_03","D:/ANES_code/ANES_dissertation/outputs/figures/formal/07A_edge_accuracy_2012.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_07A_edge_accuracy_2012.png","SUPPLEMENTARY_EDGE_ACCURACY","Within-wave percentile uncertainty; interval inclusion of zero is not a second edge-selection rule.",46829,"d1d200c34d1a15e58d9a5f34f77195fb9716490abd2442f21df5e3c042421567","d1d200c34d1a15e58d9a5f34f77195fb9716490abd2442f21df5e3c042421567",TRUE
"FIG10_04","D:/ANES_code/ANES_dissertation/outputs/figures/formal/07A_edge_accuracy_2016.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_07A_edge_accuracy_2016.png","SUPPLEMENTARY_EDGE_ACCURACY","Within-wave percentile uncertainty; interval inclusion of zero is not a second edge-selection rule.",47517,"59aa831e777598e686f4e5b275ab97412d435547330ecfc8cb04108202ada80b","59aa831e777598e686f4e5b275ab97412d435547330ecfc8cb04108202ada80b",TRUE
"FIG10_05","D:/ANES_code/ANES_dissertation/outputs/figures/formal/07A_edge_accuracy_2020.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_07A_edge_accuracy_2020.png","SUPPLEMENTARY_EDGE_ACCURACY","Within-wave percentile uncertainty; interval inclusion of zero is not a second edge-selection rule.",46626,"53b0649880e8ddc853ac649faf7d7ee86e55af5f3ef853806b686366a0de3106","53b0649880e8ddc853ac649faf7d7ee86e55af5f3ef853806b686366a0de3106",TRUE
"FIG10_06","D:/ANES_code/ANES_dissertation/outputs/figures/formal/07A_edge_accuracy_2024.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_07A_edge_accuracy_2024.png","SUPPLEMENTARY_EDGE_ACCURACY","Within-wave percentile uncertainty; interval inclusion of zero is not a second edge-selection rule.",47382,"dfa9b2dbd5c4b0e0df563faaf5b6112e0feafcef8c4dd1168f978f6e5d052b9d","dfa9b2dbd5c4b0e0df563faaf5b6112e0feafcef8c4dd1168f978f6e5d052b9d",TRUE
"FIG10_07","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08_expected_influence_over_time.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08_expected_influence_over_time.png","EXPLORATORY_CENTRALITY_CANDIDATE","Exploratory Expected Influence only; no cross-wave significance or causal-importance claim.",60360,"dfd749c4c42d7212e2ab21c1f3af0e7cac1e3ee15fff0055715202b3370d7bc6","dfd749c4c42d7212e2ab21c1f3af0e7cac1e3ee15fff0055715202b3370d7bc6",TRUE
"FIG10_08","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08_strength_over_time.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08_strength_over_time.png","EXPLORATORY_CENTRALITY_AUXILIARY","Auxiliary Strength only; no cross-wave significance or causal-importance claim.",70374,"fd0c89da00123565d7032d5e69f7955c18507df5591f85d655d28a418a79bbfa","fd0c89da00123565d7032d5e69f7955c18507df5591f85d655d28a418a79bbfa",TRUE
"FIG10_09","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2012__no_college_degree.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_network_2012__no_college_degree.png","SUPPLEMENTARY_EDUCATION_WITHIN_NETWORK","Within-group descriptive network only; common layout and scale; no between-group inference.",109087,"67321c31781cfae721f7cfdf3f8f07b5f91b4bb38224896f587f502984734289","67321c31781cfae721f7cfdf3f8f07b5f91b4bb38224896f587f502984734289",TRUE
"FIG10_10","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2012__college_or_advanced.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_network_2012__college_or_advanced.png","SUPPLEMENTARY_EDUCATION_WITHIN_NETWORK","Within-group descriptive network only; common layout and scale; no between-group inference.",111701,"e79f5a33044d71177d58bf3347e97aa5d40ab7cae5d034703a3e449c7e3bd54f","e79f5a33044d71177d58bf3347e97aa5d40ab7cae5d034703a3e449c7e3bd54f",TRUE
