"Metric","Source_value","Step10_value","Absolute_difference","Passed"
"Analysis_ready_n_2004",789,789,0,TRUE
"Analysis_ready_n_2012",4353,4353,0,TRUE
"Analysis_ready_n_2016",2709,2709,0,TRUE
"Analysis_ready_n_2020",5390,5390,0,TRUE
"Analysis_ready_n_2024",3525,3525,0,TRUE
"Retained_edges_2004",25,25,0,TRUE
"Retained_edges_2012",32,32,0,TRUE
"Retained_edges_2016",32,32,0,TRUE
"Retained_edges_2020",32,32,0,TRUE
"Retained_edges_2024",33,33,0,TRUE
"Global_strength_2004",3.27385693104573,3.27385693104573,0,TRUE
"Global_strength_2012",3.9598312246387,3.9598312246387,0,TRUE
"Global_strength_2016",4.07371785353382,4.07371785353382,0,TRUE
"Global_strength_2020",4.2104926353547,4.2104926353547,0,TRUE
"Global_strength_2024",4.09677422904485,4.09677422904485,0,TRUE
"Median_edge_CI_width_2004",0.150794918948854,0.150794918948854,0,TRUE
"Median_edge_CI_width_2012",0.0761430966646137,0.0761430966646137,0,TRUE
"Median_edge_CI_width_2016",0.0982283939204443,0.0982283939204443,0,TRUE
"Median_edge_CI_width_2020",0.0711947360994905,0.0711947360994905,0,TRUE
"Median_edge_CI_width_2024",0.0893689077335492,0.0893689077335492,0,TRUE
"Education_N_2012__no_college_degree",2773,2773,0,TRUE
"Education_N_2012__college_or_advanced",1531,1531,0,TRUE
"Education_N_2016__no_college_degree",1478,1478,0,TRUE
"Education_N_2016__college_or_advanced",1216,1216,0,TRUE
"Education_N_2020__no_college_degree",2624,2624,0,TRUE
"Education_N_2020__college_or_advanced",2691,2691,0,TRUE
"Education_N_2024__no_college_degree",1729,1729,0,TRUE
"Education_N_2024__college_or_advanced",1781,1781,0,TRUE
"Education_retained_edges_2012__no_college_degree",28,28,0,TRUE
"Education_retained_edges_2012__college_or_advanced",28,28,0,TRUE
"Education_retained_edges_2016__no_college_degree",28,28,0,TRUE
"Education_retained_edges_2016__college_or_advanced",31,31,0,TRUE
"Education_retained_edges_2020__no_college_degree",30,30,0,TRUE
"Education_retained_edges_2020__college_or_advanced",33,33,0,TRUE
"Education_retained_edges_2024__no_college_degree",34,34,0,TRUE
"Education_retained_edges_2024__college_or_advanced",32,32,0,TRUE
"Step09_UNCHANGED_claims",149,149,0,TRUE
"Step09_CHANGED_claims",31,31,0,TRUE
"Step09B_edge_ROBUST",74,74,0,TRUE
"Step09B_edge_MIXED",13,13,0,TRUE
"Step09B_edge_NOT_ROBUST",93,93,0,TRUE
"Step09B_contrast_ROBUST",3,3,0,TRUE
"Step09B_contrast_MIXED",1,1,0,TRUE
"Step09B_contrast_NOT_ROBUST",6,6,0,TRUE
