"Input_ID","Path","Exists","Bytes","SHA256","Purpose"
"sample_flow","D:/ANES_code/ANES_dissertation/data/audit/anes_cdf_20260205_sample_flow_nine_node_complete_case_2004_2012_2016_2020_2024.csv",TRUE,218,"e9d7d0fc812949ee071e645de5dcbba41d69ce871ed4032536a58f1d5cb7a3f6","Primary complete-case sample flow"
"polychoric_diagnostics","D:/ANES_code/ANES_dissertation/data/audit/anes_cdf_20260205_nine_node_complete_case_polychoric_diagnostics_2004_2012_2016_2020_2024.csv",TRUE,989,"053e173ec0a54b12bd65cf0cf4a14c35eb327f05f4969f41161ab3142f09f0e7","Primary polychoric input diagnostics"
"step07_completion","D:/ANES_code/ANES_dissertation/outputs/tables/formal/07_formal_step07_completion_status.csv",TRUE,484,"dac6126417d8d75eaf55f0ab01f04962cb28d5fcaf3ce5fea614b4f9c4ed46a8","Step 07 completion gate"
"step07a_validation","D:/ANES_code/ANES_dissertation/outputs/tables/formal/07A_edge_accuracy_validation.csv",TRUE,929,"8ffcee1c4f1491c9458c858eed97a7a0123d32d32d2c5fac5e0f399bd6c42b52","Step 07A validation gate"
"step07a_wave","D:/ANES_code/ANES_dissertation/outputs/tables/formal/07A_edge_accuracy_by_wave.csv",TRUE,721,"7c34f35929aa2ef5066271aa045213fe3c5f586f58352b0be5ddaa1c1ba81f00","Edge-accuracy wave summary"
"step07b_completion","D:/ANES_code/ANES_dissertation/outputs/tables/formal/07B_completion_status.csv",TRUE,608,"28e5adc5d21fe66367610970e463731ebc0aefc2e6665c63b770a745552b3513","Step 07B completion gate"
"step07b_cs","D:/ANES_code/ANES_dissertation/outputs/tables/formal/07B_CS_coefficients.csv",TRUE,941,"640d9156e255c673ed5e533693de5c4b2daf792c83bf257bc23a46d88f459503","Case-dropping CS coefficients"
"step08_completion","D:/ANES_code/ANES_dissertation/outputs/tables/formal/08_stage1_12_completion_status.csv",TRUE,1255,"eccc9bf8632841fccb51c49dfa551654033fb12b39555e2e2e154711be02e566","Step 08 stages 1--12 completion gate"
"overall_wave_summary","D:/ANES_code/ANES_dissertation/outputs/tables/formal/08_overall_wave_summary.csv",TRUE,2240,"995f96ebafb0412ec62cb532eec2f50b0ebe84d02d8e6d24caadcb197b8ee780","Five-wave point-network summary"
"overall_expected_influence","D:/ANES_code/ANES_dissertation/outputs/tables/formal/08_overall_expected_influence.csv",TRUE,8309,"2f2b42cae57abd816a01b041fd7c73810a8d6d134a6c2c455b4a00f8dacb3062","Exploratory Expected Influence"
"overall_centrality_stability","D:/ANES_code/ANES_dissertation/outputs/tables/formal/08_overall_centrality_stability.csv",TRUE,1647,"8e9b21cb154c4f062c99a88424ac319197f131b4aba2accb047a81f52ade6c75","Exploratory centrality stability"
"education_sample_flow","D:/ANES_code/ANES_dissertation/outputs/tables/formal/08_education_sample_flow.csv",TRUE,243,"ed688426af0c41e3b44ca7b2d459aa3c9bb7853c82609ad68a0358af6f850ec3","Education-group sample flow"
"step08b_completion","D:/ANES_code/ANES_dissertation/outputs/tables/formal/08B_education_completion_status.csv",TRUE,848,"6a52971c7504a1af043d1d84074215bdaea981cfdad91f1a544e13fd339cd2be","Step 08B completion gate"
"education_point_diagnostics","D:/ANES_code/ANES_dissertation/outputs/tables/formal/08B_education_point_network_diagnostics.csv",TRUE,5544,"396df68a713a7cf70d09a13a1420782feeaf9c8d85e0c192516a95c67aac9386","Education-group point-network diagnostics"
"education_readiness","D:/ANES_code/ANES_dissertation/outputs/tables/formal/08C_education_result_readiness.csv",TRUE,6074,"afddade3877b8f34eaf5a54208a62831e1b926122b87046b4541edf1296e1e5d","Education-group result-readiness audit"
"education_figure_manifest","D:/ANES_code/ANES_dissertation/outputs/tables/formal/08C_education_figure_manifest.csv",TRUE,5235,"8f477e0d1191a7fea31713c3d0c84ad1c8ea0d115378e81737fae5fccca6613d","Education-group figure source manifest"
"step08c_validation","D:/ANES_code/ANES_dissertation/outputs/tables/formal/08C_final_validation.csv",TRUE,570,"4be3c8e7770d536becf0de422e4f7b8badf736ee990d8313854f59103e39ba95","Step 08C final validation"
"step09_completion","D:/ANES_code/ANES_dissertation/outputs/tables/sensitivity/09_completion_status.csv",TRUE,295,"9be9d0d522081e9024695970c3b02a720498cdfc90e4dea6f25e0b8accd9cacc","Step 09 completion gate"
"sensitivity_by_wave","D:/ANES_code/ANES_dissertation/outputs/tables/sensitivity/09_sensitivity_summary_by_wave.csv",TRUE,6293,"df1e076801b8e339e3f06c16ed4f9ccbd8d7ef0d9078c8d05ae9b3da0f063cb8","Step 09 wave-level sensitivity summary"
"step09_claims","D:/ANES_code/ANES_dissertation/outputs/tables/sensitivity/09_primary_claim_robustness_summary.csv",TRUE,25129,"c5aadcf353bdb94684f8cafb2140aa26e61bbc3434fcc0ca112bec179aeb0bac","Step 09 primary claim audit"
"step09b_completion","D:/ANES_code/ANES_dissertation/outputs/tables/sensitivity/09B_completion_status.csv",TRUE,668,"ad57dac1694e9fec70103ba686b63742f3afe4ef7e3792574e1c9b7ad1918ef7","Step 09B completion gate"
"step09b_claims","D:/ANES_code/ANES_dissertation/outputs/tables/sensitivity/09B_claim_robustness.csv",TRUE,35007,"7e2549c6e12391874519032308e12c6804cc8ac6f78445708dd25502eb882ac5","Step 09B joint robustness claims"
"step09b_claim_summary","D:/ANES_code/ANES_dissertation/outputs/tables/sensitivity/09B_claim_robustness_summary.csv",TRUE,333,"75a293e655473a6f31b6f804f997cb93a9dc2d4d17cb30fe9aaf42b3ccbc7c0b","Step 09B robustness counts"
