"Evidence_type","Module_or_claim_type","Units","Minimum_edge_weight_correlation","Maximum_edge_weight_correlation","Maximum_absolute_global_strength_difference","Common_retained_sign_reversals","Status","Interpretation"
"STEP09_MODULE","S09_D19_MODE__ALL_INTERNET",4,0.990965050947017,0.999408605915963,0.0870952232182773,0,"ESTIMABLE_WITH_WARNINGS","DESCRIPTIVE_SPECIFICATION_SENSITIVITY_NOT_MODEL_SELECTION_OR_SIGNIFICANCE"
"STEP09_MODULE","S09_D20A_GAMMA__GAMMA_025",5,1,1,0,0,"ESTIMABLE_WITH_WARNINGS","DESCRIPTIVE_SPECIFICATION_SENSITIVITY_NOT_MODEL_SELECTION_OR_SIGNIFICANCE"
"STEP09_MODULE","S09_D20A_NO_VCF0839__NO_VCF0839",5,0.980749710983591,0.986520367646034,,0,"ESTIMABLE_WITH_WARNINGS","DESCRIPTIVE_SPECIFICATION_SENSITIVITY_NOT_MODEL_SELECTION_OR_SIGNIFICANCE"
"STEP09_MODULE","S09_D11__PAIRWISE_AVAILABLE",5,0.988072552138619,0.993635017576542,0.276200299937324,0,"ESTIMABLE_WITH_WARNINGS","DESCRIPTIVE_SPECIFICATION_SENSITIVITY_NOT_MODEL_SELECTION_OR_SIGNIFICANCE"
"STEP09_MODULE","S09_D15_WEIGHT__W_CDF",5,0.970957798676324,0.993606908472117,0.179963024868912,0,"REUSED_VALIDATED_POINT_NETWORK","DESCRIPTIVE_SPECIFICATION_SENSITIVITY_NOT_MODEL_SELECTION_OR_SIGNIFICANCE"
"STEP09_MODULE","S09_D15_WEIGHT__W_POST_COMPAT",5,0.972434687478383,0.990160294375292,0.170706694051235,0,"REUSED_VALIDATED_POINT_NETWORK","DESCRIPTIVE_SPECIFICATION_SENSITIVITY_NOT_MODEL_SELECTION_OR_SIGNIFICANCE"
"STEP09_PRIMARY_CLAIM_AUDIT","EDGE_RETENTION_AND_SIGN",31,,,,,"CHANGED","SENSITIVITY_CLASSIFICATION_NOT_SIGNIFICANCE_OR_EQUIVALENCE"
"STEP09_PRIMARY_CLAIM_AUDIT","EDGE_RETENTION_AND_SIGN",149,,,,,"UNCHANGED","SENSITIVITY_CLASSIFICATION_NOT_SIGNIFICANCE_OR_EQUIVALENCE"
"STEP09B_JOINT_ROBUSTNESS_AUDIT","WAVE_NETWORK_DESCRIPTOR",15,,,,,"DESCRIPTIVE_AUDIT_COMPLETE","REPRODUCIBILITY_CLASSIFICATION_NOT_P_VALUE_SIGNIFICANCE_OR_EQUIVALENCE"
"STEP09B_JOINT_ROBUSTNESS_AUDIT","EDGE_SIGN_AND_RETENTION",13,,,,,"MIXED","REPRODUCIBILITY_CLASSIFICATION_NOT_P_VALUE_SIGNIFICANCE_OR_EQUIVALENCE"
"STEP09B_JOINT_ROBUSTNESS_AUDIT","WAVE_CONTRAST_DIRECTION",1,,,,,"MIXED","REPRODUCIBILITY_CLASSIFICATION_NOT_P_VALUE_SIGNIFICANCE_OR_EQUIVALENCE"
"STEP09B_JOINT_ROBUSTNESS_AUDIT","EDGE_SIGN_AND_RETENTION",93,,,,,"NOT_ROBUST","REPRODUCIBILITY_CLASSIFICATION_NOT_P_VALUE_SIGNIFICANCE_OR_EQUIVALENCE"
"STEP09B_JOINT_ROBUSTNESS_AUDIT","WAVE_CONTRAST_DIRECTION",6,,,,,"NOT_ROBUST","REPRODUCIBILITY_CLASSIFICATION_NOT_P_VALUE_SIGNIFICANCE_OR_EQUIVALENCE"
"STEP09B_JOINT_ROBUSTNESS_AUDIT","EDGE_SIGN_AND_RETENTION",74,,,,,"ROBUST","REPRODUCIBILITY_CLASSIFICATION_NOT_P_VALUE_SIGNIFICANCE_OR_EQUIVALENCE"
"STEP09B_JOINT_ROBUSTNESS_AUDIT","WAVE_CONTRAST_DIRECTION",3,,,,,"ROBUST","REPRODUCIBILITY_CLASSIFICATION_NOT_P_VALUE_SIGNIFICANCE_OR_EQUIVALENCE"
