"Wave","Statistic","CS_coefficient","Correlation_threshold","Interpretation_status","CS_error"
2004,"expectedInfluence",0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",""
2004,"strength",0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",""
2012,"expectedInfluence",0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",""
2012,"strength",0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",""
2016,"expectedInfluence",0.750092284976006,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",""
2016,"strength",0.750092284976006,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",""
2020,"expectedInfluence",0.749907235621521,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",""
2020,"strength",0.749907235621521,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",""
2024,"expectedInfluence",0.750070921985816,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",""
2024,"strength",0.750070921985816,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",""
