"Component","Status"
"D23 authorisation","AUTHORISED"
"Five-wave raw Expected Influence","CALCULATED_STABILITY_NOT_IMPLIED"
"Five-wave auxiliary raw Strength","CALCULATED_STABILITY_NOT_IMPLIED"
"2004 ten-repetition technical test","NOT_RUN_THIS_RENDER"
"Five-wave 1,000-repetition case-dropping","REUSED_VALIDATED_OUTPUTS"
"Education-group centrality","NOT_AUTHORISED_NOT_RUN"
"Bridge Expected Influence","NOT_AUTHORISED_NOT_RUN"
"Closeness and betweenness","NOT_AUTHORISED_NOT_RUN"
"NCT or cross-wave centrality tests","NOT_AUTHORISED_NOT_RUN"
"Political interpretation","NOT_AUTHORISED_NOT_RUN"
