"Group_key","Wave","Education_group","N","Node_1","Node_2","Edge_weight","Retained_under_EBICglasso"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806","VCF0809",0.314129811104201,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806","VCF0838",0.125051067336339,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0809","VCF0838",0,FALSE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806","VCF0839",0.20392354669631,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0809","VCF0839",0.163383496686603,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0838","VCF0839",0,FALSE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806","VCF0879a",0.0318653016463469,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0809","VCF0879a",0,FALSE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0838","VCF0879a",0,FALSE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0839","VCF0879a",0.0291603777162078,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806","VCF0888",0,FALSE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0809","VCF0888",0.0231777314617163,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0838","VCF0888",-0.0837690675483966,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0839","VCF0888",0.027896487942884,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0879a","VCF0888",-0.0799639310811608,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806","VCF0890",0.0686667330198409,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0809","VCF0890",0.104392788718996,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0838","VCF0890",0.155060784418785,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0839","VCF0890",0.262604692082162,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0879a","VCF0890",-0.0099031668031458,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0888","VCF0890",0.314057704841356,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806","VCF0894",0.139265758439623,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0809","VCF0894",0.140658787905203,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0838","VCF0894",-0.0567266446456354,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0839","VCF0894",0.285343729688174,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0879a","VCF0894",0.111202804066509,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0888","VCF0894",0,FALSE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0890","VCF0894",0.148110311932062,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806","VCF9223",0,FALSE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0809","VCF9223",-0.0219653453321536,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0838","VCF9223",0.0798901157992345,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0839","VCF9223",0.0224320615323463,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0879a","VCF9223",0.444924043695566,TRUE
"2012__no_college_degree",2012,"No college degree",2773,"VCF0888","VCF9223",-0.0374842730589262,TRUE
