"Figure_type","Group_key","Wave","Education_group","Path","Width_px","Height_px","Resolution_ppi","Common_scale","Bytes","SHA256"
"FIXED_LAYOUT_NETWORK","2012__no_college_degree",2012,"No college degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2012__no_college_degree.png",2400,2400,300,"Maximum absolute edge = 0.5; observed maximum = 0.45087935",109087,"67321C31781CFAE721F7CFDF3F8F07B5F91B4BB38224896F587F502984734289"
"FIXED_LAYOUT_NETWORK","2012__college_or_advanced",2012,"College or advanced degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2012__college_or_advanced.png",2400,2400,300,"Maximum absolute edge = 0.5; observed maximum = 0.45087935",111701,"E79F5A33044D71177D58BF3347E97AA5D40AB7CAE5D034703A3E449C7E3BD54F"
"FIXED_LAYOUT_NETWORK","2016__no_college_degree",2016,"No college degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2016__no_college_degree.png",2400,2400,300,"Maximum absolute edge = 0.5; observed maximum = 0.45087935",109496,"E8B264FFE1D1D7FE05532C96DE08CF140A71370BBACB26FA462625B6A1268EEC"
"FIXED_LAYOUT_NETWORK","2016__college_or_advanced",2016,"College or advanced degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2016__college_or_advanced.png",2400,2400,300,"Maximum absolute edge = 0.5; observed maximum = 0.45087935",108985,"DB308795D06CE116CCED49645BF250ED4E7D964AA72F8712E07918CA8305CAAC"
"FIXED_LAYOUT_NETWORK","2020__no_college_degree",2020,"No college degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2020__no_college_degree.png",2400,2400,300,"Maximum absolute edge = 0.5; observed maximum = 0.45087935",106568,"161A8FCBA1C7183A41D47C471712D9780E82800C0BBAEF4A636370553392C795"
"FIXED_LAYOUT_NETWORK","2020__college_or_advanced",2020,"College or advanced degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2020__college_or_advanced.png",2400,2400,300,"Maximum absolute edge = 0.5; observed maximum = 0.45087935",116691,"6838C017CDC8FA69347F18620F2A0D6E782F8FBE53417BE1DB187DF7ABB770D0"
"FIXED_LAYOUT_NETWORK","2024__no_college_degree",2024,"No college degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2024__no_college_degree.png",2400,2400,300,"Maximum absolute edge = 0.5; observed maximum = 0.45087935",114070,"B8225F36900876F7E596A1960DA503952A5589573122757D8BAC60A836D56F9B"
"FIXED_LAYOUT_NETWORK","2024__college_or_advanced",2024,"College or advanced degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2024__college_or_advanced.png",2400,2400,300,"Maximum absolute edge = 0.5; observed maximum = 0.45087935",114632,"040D0716D91E4CE48BD83BE0FFDD5193B271C84A0B546E9841803C8156835F7C"
"EDGE_ACCURACY","2012__no_college_degree",2012,"No college degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2012__no_college_degree.png",2700,3000,300,"Symmetric x-axis +/-0.55",102254,"E9BA08619276F06FFB4B9EE6B5BD5099338066A236E77EB385346AD4663192F6"
"EDGE_ACCURACY","2012__college_or_advanced",2012,"College or advanced degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2012__college_or_advanced.png",2700,3000,300,"Symmetric x-axis +/-0.55",103316,"9BAA6F074D979EF8FCC7A7C4BF08B6DE3DCB9ABD9729990A16C5F67D79E8B2BD"
"EDGE_ACCURACY","2016__no_college_degree",2016,"No college degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2016__no_college_degree.png",2700,3000,300,"Symmetric x-axis +/-0.55",102572,"5070C91FF9813DC17D7A237BE0AB03CF175CA355DE3E624060C664ABEDCAE5CB"
"EDGE_ACCURACY","2016__college_or_advanced",2016,"College or advanced degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2016__college_or_advanced.png",2700,3000,300,"Symmetric x-axis +/-0.55",103581,"6A5E1629830487D6F9771D17B9D703817718763C3D59A0E45920D5EC217F0723"
"EDGE_ACCURACY","2020__no_college_degree",2020,"No college degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2020__no_college_degree.png",2700,3000,300,"Symmetric x-axis +/-0.55",102080,"ED131C196994DEFB0BA9ED28E3F5FF888986A7A7D3CA94E2CB951AC69875C4D4"
"EDGE_ACCURACY","2020__college_or_advanced",2020,"College or advanced degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2020__college_or_advanced.png",2700,3000,300,"Symmetric x-axis +/-0.55",103033,"CB598C342B09935D4056E39BDB168FB09C17CB90AEC24E5CB5BC97F0A6EA7EA6"
"EDGE_ACCURACY","2024__no_college_degree",2024,"No college degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2024__no_college_degree.png",2700,3000,300,"Symmetric x-axis +/-0.55",102147,"1C60DDCFA23C03A26681EB63E3BEB30724E88ECE78AF5BE30B1EF00DB7444CF9"
"EDGE_ACCURACY","2024__college_or_advanced",2024,"College or advanced degree","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2024__college_or_advanced.png",2700,3000,300,"Symmetric x-axis +/-0.55",103281,"BCB12E9E6022D3BE578F928F03328FBCEFE5E30A7CF4A4BB5E205ED819131E26"
