"Wave","Node","Expected_Influence","Positive_retained_edges","Negative_retained_edges","Zero_edges","CS_coefficient","CS_correlation_threshold","CS_interpretation_status","CS_error","Interpretation_boundary"
2004,"VCF0806",0.682007197080247,4,1,3,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0809",0.803685099993789,5,2,1,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0838",0.230515763499888,4,1,3,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0839",0.78833695009574,5,1,2,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0879a",0.531013161761121,4,1,3,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0888",-0.0060994658507904,1,5,2,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0890",1.02233393611504,7,0,1,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0894",0.682180502835452,4,0,4,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF9223",0.313161169056809,2,3,3,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2012,"VCF0806",0.950680808630241,7,1,0,0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2012,"VCF0809",0.740609211528078,5,2,1,0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2012,"VCF0838",0.302776343210038,3,2,3,0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2012,"VCF0839",1.07114047106634,7,0,1,0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2012,"VCF0879a",0.509458964121711,4,3,1,0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2012,"VCF0888",0.051865474657218,3,4,1,0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2012,"VCF0890",1.05539100877458,7,1,0,0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2012,"VCF0894",0.851160009747287,5,2,1,0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2012,"VCF9223",0.566846919361919,5,3,0,0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2016,"VCF0806",0.909867145865692,7,1,0,0.750092284976006,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2016,"VCF0809",0.726696171138234,4,1,3,0.750092284976006,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2016,"VCF0838",0.379802902364196,6,2,0,0.750092284976006,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2016,"VCF0839",1.09852070723435,7,0,1,0.750092284976006,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2016,"VCF0879a",0.677283528218357,5,1,2,0.750092284976006,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2016,"VCF0888",-0.194148509562738,2,5,1,0.750092284976006,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2016,"VCF0890",0.903749530506284,8,0,0,0.750092284976006,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"EXPLORATORY_SIGNED_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
