"Wave","Node","Strength","Positive_retained_edges","Negative_retained_edges","Zero_edges","CS_coefficient","CS_correlation_threshold","CS_interpretation_status","CS_error","Interpretation_boundary"
2004,"VCF0806",0.727823440726587,4,1,3,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"AUXILIARY_ABSOLUTE_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0809",0.948156966165023,5,2,1,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"AUXILIARY_ABSOLUTE_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0838",0.305407017817256,4,1,3,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"AUXILIARY_ABSOLUTE_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0839",0.948050793102354,5,1,2,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"AUXILIARY_ABSOLUTE_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0879a",0.679621430929894,4,1,3,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"AUXILIARY_ABSOLUTE_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0888",0.498850099612003,1,5,2,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"AUXILIARY_ABSOLUTE_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0890",1.02233393611504,7,0,1,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"AUXILIARY_ABSOLUTE_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF0894",0.682180502835452,4,0,4,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"AUXILIARY_ABSOLUTE_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2004,"VCF9223",0.735289674787848,2,3,3,0.750316856780735,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"AUXILIARY_ABSOLUTE_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
2012,"VCF0806",0.996872152640859,7,1,0,0.750057431656329,0.7,"CAUTIOUS_EXPLORATORY_INTERPRETATION",NA,"AUXILIARY_ABSOLUTE_CONNECTIVITY;NO_CAUSAL_OR_CROSS_WAVE_SIGNIFICANCE_CLAIM"
