"Election_year","First_network","Second_network","Compared_edges","Edge_weight_correlation","Median_absolute_edge_difference","Mean_absolute_edge_difference","Maximum_absolute_edge_difference","Sign_agreement_all_pairs","Sign_agreement_retained_union","Sign_reversals_among_common_edges","First_retained_edges","Second_retained_edges","Common_retained_edges","Retained_edge_union","Retained_edge_Jaccard","First_global_strength","Second_global_strength","Global_strength_difference"
2004,"U_RAWN","W_CDF_RAWN",36,0.989788931595717,0.00528537318052286,0.01179340085055,0.0476402050162022,0.916666666666667,0.884615384615385,0,25,24,23,26,0.884615384615385,3.27385693104573,3.27244895558875,-0.00140797545698135
2004,"U_RAWN","W_POST_COMPAT_RAWN",36,0.990160294375292,0.00481786499744064,0.0116444482914561,0.0444995625435269,0.916666666666667,0.884615384615385,0,25,24,23,26,0.884615384615385,3.27385693104573,3.28904329831802,0.0151863672722912
2004,"W_CDF_RAWN","W_POST_COMPAT_RAWN",36,0.999864056078696,0.000640431728699077,0.00132572831709442,0.00797072988466199,1,1,0,24,24,24,24,1,3.27244895558875,3.28904329831802,0.0165943427292725
2012,"U_RAWN","W_CDF_RAWN",36,0.990012909578524,0.0135545071625707,0.0148067280502985,0.0356134084603727,0.916666666666667,0.909090909090909,0,32,31,30,33,0.909090909090909,3.9598312246387,3.93241199226734,-0.0274192323713658
2012,"U_RAWN","W_POST_COMPAT_RAWN",36,0.990012909578524,0.0135545071625707,0.0148067280502985,0.0356134084603727,0.916666666666667,0.909090909090909,0,32,31,30,33,0.909090909090909,3.9598312246387,3.93241199226734,-0.0274192323713658
2012,"W_CDF_RAWN","W_POST_COMPAT_RAWN",36,1,0,0,0,1,1,0,31,31,31,31,1,3.93241199226734,3.93241199226734,0
2016,"U_RAWN","W_CDF_RAWN",36,0.988379499168577,0.0112370973895308,0.0148844032932091,0.0474845665732456,0.916666666666667,0.909090909090909,0,32,31,30,33,0.909090909090909,4.07371785353382,3.89375482866491,-0.179963024868912
2016,"U_RAWN","W_POST_COMPAT_RAWN",36,0.988463535666888,0.0114076377105016,0.0147252060381247,0.043185291042731,0.916666666666667,0.909090909090909,0,32,31,30,33,0.909090909090909,4.07371785353382,3.90301115948259,-0.170706694051235
2016,"W_CDF_RAWN","W_POST_COMPAT_RAWN",36,0.999862337823961,0.00106055741195986,0.00158476316575634,0.00500216811764742,1,1,0,31,31,31,31,1,3.89375482866491,3.90301115948259,0.00925633081767652
2020,"U_RAWN","W_CDF_RAWN",36,0.993606908472117,0.0119409143688267,0.0120779884459296,0.036682291421093,0.944444444444444,0.9375,0,32,30,30,32,0.9375,4.2104926353547,4.13598922111814,-0.074503414236557
2020,"U_RAWN","W_POST_COMPAT_RAWN",36,0.988683081086079,0.0137227648469449,0.0162502552433475,0.0425410510914744,0.944444444444444,0.939393939393939,0,32,32,31,33,0.939393939393939,4.2104926353547,4.21089730599235,0.000404670637649929
2020,"W_CDF_RAWN","W_POST_COMPAT_RAWN",36,0.997193790647477,0.00590254186879843,0.00744058456651697,0.0236637523490377,0.944444444444444,0.9375,0,30,32,30,32,0.9375,4.13598922111814,4.21089730599235,0.074908084874207
2024,"U_RAWN","W_CDF_RAWN",36,0.970957798676324,0.019879370425521,0.0220818727745408,0.0746052594179811,0.888888888888889,0.882352941176471,0,33,31,30,34,0.882352941176471,4.09677422904485,4.14987610150341,0.0531018724585604
2024,"U_RAWN","W_POST_COMPAT_RAWN",36,0.972434687478383,0.0200275133698316,0.0223849260588483,0.0680775656205737,0.888888888888889,0.882352941176471,0,33,31,30,34,0.882352941176471,4.09677422904485,4.10205183834471,0.0052776092998581
2024,"W_CDF_RAWN","W_POST_COMPAT_RAWN",36,0.998694775074413,0.00452309357193143,0.00497796596967962,0.0132332361672528,1,1,0,31,31,31,31,1,4.14987610150341,4.10205183834471,-0.0478242631587023
