"Candidate","Election_year","Complete_case_N","Missing_N","Nonfinite_nonmissing_N","Nonpositive_finite_N","Valid_positive_N","Minimum","P01","P05","Median","Mean","P95","P99","Maximum","Standard_deviation","Coefficient_of_variation","Sum_of_weights","Kish_effective_N","Kish_ESS_over_N","Maximum_over_median","Rescaling_applied","CDF_weight_variable","Official_source_variable","Candidate_role"
"W_CDF",2004,789,0,0,0,789,0.3616,0.3616,0.44022,0.9187,0.976460076045627,1.73136,2.755448,3.0287,0.444467233939901,0.455182188031549,770.427,653.72570102902,0.828549684447427,3.29672363121803,FALSE,"VCF0009z","V040101","Uniform five-wave CDF full-sample-weight candidate"
"W_CDF",2012,4353,0,0,0,4353,0.0212,0.066212,0.124,0.7193,0.999724465885596,2.87106,4.138272,4.9909,0.887975701064592,0.888220436095847,4351.8006,2433.53712203134,0.559048270625164,6.9385513693869,FALSE,"VCF0009z","weight_full","Uniform five-wave CDF full-sample-weight candidate"
"W_CDF",2016,2709,0,0,0,2709,0.099,0.24624,0.342,0.81,0.961875968992248,2.0796,3.53136,6.813,0.635444317716247,0.660630204102092,2605.722,1886.13408920261,0.696247356663938,8.41111111111111,FALSE,"VCF0009z","V160101","Uniform five-wave CDF full-sample-weight candidate"
"W_CDF",2020,5390,0,0,0,5390,0.0346270330896503,0.0884232102999246,0.188552651448959,0.716849669576205,0.953329391447742,2.48957054820035,4.57739441078685,6.93292869912978,0.850857401453979,0.892511454159462,5138.44541990333,3000.397052303,0.556659935492208,9.6713843827653,FALSE,"VCF0009z","V200010a","Uniform five-wave CDF full-sample-weight candidate"
"W_CDF",2024,3525,0,0,0,3525,0.0505372158791283,0.107978096229518,0.165357031929378,0.591413834670378,0.976813255259923,3.47887179392586,4.99999999429188,4.99999999429188,1.04680696351725,1.07165515811791,3443.26672479123,1640.97055895323,0.465523562823611,8.4543169286505,FALSE,"VCF0009z","V240107a","Uniform five-wave CDF full-sample-weight candidate"
"W_POST_COMPAT",2004,789,0,0,0,789,0.3441,0.3441,0.4353,0.9527,0.980012801013942,1.7527,2.628616,3.4187,0.450771081841161,0.459964483499383,773.2301,651.366741663587,0.825559875365763,3.58843287498688,FALSE,"VCF9999","V040102","Post-election full-sample weight"
"W_POST_COMPAT",2012,4353,0,0,0,4353,0.0212,0.066212,0.124,0.7193,0.999724465885596,2.87106,4.138272,4.9909,0.887975701064592,0.888220436095847,4351.8006,2433.53712203134,0.559048270625164,6.9385513693869,FALSE,"VCF0009z","weight_full","Wave-specific official 2012 substitute: CDF full-sample weight"
"W_POST_COMPAT",2016,2709,0,0,0,2709,0.0957,0.25546,0.33902,0.8148,0.962241048357327,2.03604,3.6063,6.4445,0.640765838951786,0.665909898611848,2606.711,1876.98467855912,0.692869944097127,7.9093028964163,FALSE,"VCF9999","V160102","Post-election full-sample weight"
"W_POST_COMPAT",2020,5390,0,0,0,5390,0.01363686,0.05756020888,0.1405337281,0.668228642,0.944412088953618,2.6683209559,5.36208996237997,6.650664838,0.938871603459657,0.994133402612307,5090.38115946,2711.10687041846,0.502988287647209,9.95267849952472,FALSE,"VCF9999","V200010b","Post-election full-sample weight"
"W_POST_COMPAT",2024,3525,0,0,0,3525,0.0451775442758877,0.108842420701161,0.16613182933963,0.605712086902753,0.97408629692744,3.30626461554492,5.00000000630273,5.00000000630273,1.01563973714966,1.04265889003191,3433.65419666923,1689.16559110241,0.479195912369477,8.2547469572049,FALSE,"VCF9999","V240107b","Post-election full-sample weight"
