"Election_year","Weight_variable","Official_role","Official_source_variable","Source_record_status","Official_document","Official_url","Analysis_ready_N","Missing_N","Nonfinite_nonmissing_N","Nonpositive_finite_N","Positive_finite_N","Minimum_positive","Maximum_positive","All_complete_cases_have_positive_weight","Present_in_analysis_ready_RDS","Stage_1_status"
2004,"VCF0009z","CDF full-sample weight","V040101","VERIFIED IN OFFICIAL CDF CODEBOOK","ANES Time Series Cumulative Data File Variable Codebook, 2026-02-05","https://electionstudies.org/wp-content/uploads/2026/02/anes_timeseries_cdf_codebook_var_20260205.pdf",789,0,0,0,789,0.3616,3.0287,TRUE,TRUE,"TECHNICALLY AVAILABLE FOR COMPLETE-CASE PILOT"
2012,"VCF0009z","CDF full-sample weight","weight_full","VERIFIED IN OFFICIAL CDF CODEBOOK","ANES Time Series Cumulative Data File Variable Codebook, 2026-02-05","https://electionstudies.org/wp-content/uploads/2026/02/anes_timeseries_cdf_codebook_var_20260205.pdf",4353,0,0,0,4353,0.0212,4.9909,TRUE,TRUE,"TECHNICALLY AVAILABLE FOR COMPLETE-CASE PILOT"
2016,"VCF0009z","CDF full-sample weight","V160101","VERIFIED IN OFFICIAL CDF CODEBOOK","ANES Time Series Cumulative Data File Variable Codebook, 2026-02-05","https://electionstudies.org/wp-content/uploads/2026/02/anes_timeseries_cdf_codebook_var_20260205.pdf",2709,0,0,0,2709,0.099,6.813,TRUE,TRUE,"TECHNICALLY AVAILABLE FOR COMPLETE-CASE PILOT"
2020,"VCF0009z","CDF full-sample weight","V200010a","VERIFIED IN OFFICIAL CDF CODEBOOK","ANES Time Series Cumulative Data File Variable Codebook, 2026-02-05","https://electionstudies.org/wp-content/uploads/2026/02/anes_timeseries_cdf_codebook_var_20260205.pdf",5390,0,0,0,5390,0.0346270330896503,6.93292869912978,TRUE,TRUE,"TECHNICALLY AVAILABLE FOR COMPLETE-CASE PILOT"
2024,"VCF0009z","CDF full-sample weight","V240107a","VERIFIED IN OFFICIAL CDF CODEBOOK","ANES Time Series Cumulative Data File Variable Codebook, 2026-02-05","https://electionstudies.org/wp-content/uploads/2026/02/anes_timeseries_cdf_codebook_var_20260205.pdf",3525,0,0,0,3525,0.0505372158791283,4.99999999429188,TRUE,TRUE,"TECHNICALLY AVAILABLE FOR COMPLETE-CASE PILOT"
2004,"VCF9999","CDF post-election full-sample weight","V040102","VERIFIED IN OFFICIAL CDF CODEBOOK","ANES Time Series Cumulative Data File Variable Codebook, 2026-02-05","https://electionstudies.org/wp-content/uploads/2026/02/anes_timeseries_cdf_codebook_var_20260205.pdf",789,0,0,0,789,0.3441,3.4187,TRUE,FALSE,"TECHNICALLY AVAILABLE FOR COMPLETE-CASE PILOT"
2012,"VCF9999","CDF post-election full-sample weight","NO CDF SOURCE LISTED","NO CDF SOURCE LISTED","ANES Time Series Cumulative Data File Variable Codebook, 2026-02-05","https://electionstudies.org/wp-content/uploads/2026/02/anes_timeseries_cdf_codebook_var_20260205.pdf",4353,4353,0,0,0,NA,NA,FALSE,FALSE,"2012 FALLBACK DECISION REQUIRED BEFORE STAGE 1"
2016,"VCF9999","CDF post-election full-sample weight","V160102","VERIFIED IN OFFICIAL CDF CODEBOOK","ANES Time Series Cumulative Data File Variable Codebook, 2026-02-05","https://electionstudies.org/wp-content/uploads/2026/02/anes_timeseries_cdf_codebook_var_20260205.pdf",2709,0,0,0,2709,0.0957,6.4445,TRUE,FALSE,"TECHNICALLY AVAILABLE FOR COMPLETE-CASE PILOT"
2020,"VCF9999","CDF post-election full-sample weight","V200010b","VERIFIED IN OFFICIAL CDF CODEBOOK","ANES Time Series Cumulative Data File Variable Codebook, 2026-02-05","https://electionstudies.org/wp-content/uploads/2026/02/anes_timeseries_cdf_codebook_var_20260205.pdf",5390,0,0,0,5390,0.01363686,6.650664838,TRUE,FALSE,"TECHNICALLY AVAILABLE FOR COMPLETE-CASE PILOT"
2024,"VCF9999","CDF post-election full-sample weight","V240107b","VERIFIED IN OFFICIAL CDF CODEBOOK","ANES Time Series Cumulative Data File Variable Codebook, 2026-02-05","https://electionstudies.org/wp-content/uploads/2026/02/anes_timeseries_cdf_codebook_var_20260205.pdf",3525,0,0,0,3525,0.0451775442758877,5.00000000630273,TRUE,FALSE,"TECHNICALLY AVAILABLE FOR COMPLETE-CASE PILOT"
