"Claim_ID","Claim_type","Wave","Earlier_wave","Later_wave","Metric","A1_match","A2_match_proportion","A3_match_proportion","Minimum_match","Final_status","Interpretation"
"EDGE_2004_VCF0806_VCF0809","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0806_VCF0838","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0806_VCF0839","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0806_VCF0879a","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,1,0,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0806_VCF0888","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,1,0,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0806_VCF0890","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0806_VCF0894","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0806_VCF9223","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0809_VCF0838","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,1,0,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0809_VCF0839","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0809_VCF0879a","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0809_VCF0888","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,1,0,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0809_VCF0890","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
