"Arm_ID","Earlier_wave","Later_wave","Metric","Primary_difference","Primary_direction","Successful_pairs","Median_difference","Lower_difference","Upper_difference","Direction_match_proportion"
"A1",2004,2012,"Retained_edge_count_difference",7,"POSITIVE",1,9,9,9,1
"A2",2004,2012,"Retained_edge_count_difference",7,"POSITIVE",1000,1,-4,6.02499999999998,0.524
"A3",2004,2012,"Retained_edge_count_difference",7,"POSITIVE",1000,2,0,6,0.885
"A1",2004,2012,"Global_strength_difference",0.68597429359297,"POSITIVE",1,0.769058086772211,0.769058086772211,0.769058086772211,1
"A2",2004,2012,"Global_strength_difference",0.68597429359297,"POSITIVE",1000,0.324114260244698,-0.0340638862874694,1.0708172347811,0.962
"A3",2004,2012,"Global_strength_difference",0.68597429359297,"POSITIVE",1000,0.480331146393166,0.0602498137457221,1.03726244788604,0.997
"A1",2012,2016,"Retained_edge_count_difference",0,"ZERO",1,1,1,1,0
"A2",2012,2016,"Retained_edge_count_difference",0,"ZERO",1000,4,-3,10,0.067
"A3",2012,2016,"Retained_edge_count_difference",0,"ZERO",1000,1,-4,6,0.125
"A1",2012,2016,"Global_strength_difference",0.11388662889512,"POSITIVE",1,0.103772257823454,0.103772257823454,0.103772257823454,1
"A2",2012,2016,"Global_strength_difference",0.11388662889512,"POSITIVE",1000,0.31959082198654,-0.470887189118351,0.929642981442998,0.818
"A3",2012,2016,"Global_strength_difference",0.11388662889512,"POSITIVE",1000,0.0695745134983334,-0.605856971832223,0.729782506064258,0.588
"A1",2016,2020,"Retained_edge_count_difference",0,"ZERO",1,4,4,4,0
"A2",2016,2020,"Retained_edge_count_difference",0,"ZERO",1000,0,-5,6,0.154
"A3",2016,2020,"Retained_edge_count_difference",0,"ZERO",1000,3,-2,8,0.08
"A1",2016,2020,"Global_strength_difference",0.13677478182088,"POSITIVE",1,0.218435669819044,0.218435669819044,0.218435669819044,1
"A2",2016,2020,"Global_strength_difference",0.13677478182088,"POSITIVE",1000,0.221718912304788,-0.318383236822466,0.758086863467047,0.784
"A3",2016,2020,"Global_strength_difference",0.13677478182088,"POSITIVE",1000,0.353685390627063,-0.248557083264646,0.89290613057323,0.882
"A1",2020,2024,"Retained_edge_count_difference",1,"POSITIVE",1,-1,-1,-1,0
"A2",2020,2024,"Retained_edge_count_difference",1,"POSITIVE",1000,1,-4,6,0.58
"A3",2020,2024,"Retained_edge_count_difference",1,"POSITIVE",1000,1,-4,5,0.525
"A1",2020,2024,"Global_strength_difference",-0.11371840630985,"NEGATIVE",1,-0.11605951355248,-0.11605951355248,-0.11605951355248,1
"A2",2020,2024,"Global_strength_difference",-0.11371840630985,"NEGATIVE",1000,-0.087227954836016,-0.568105254905728,0.390514228793022,0.643
"A3",2020,2024,"Global_strength_difference",-0.11371840630985,"NEGATIVE",1000,-0.143425560931371,-0.677066620873582,0.400858656282263,0.689
"A1",2004,2024,"Retained_edge_count_difference",8,"POSITIVE",1,13,13,13,1
"A2",2004,2024,"Retained_edge_count_difference",8,"POSITIVE",1000,6,2,9,0.998
"A3",2004,2024,"Retained_edge_count_difference",8,"POSITIVE",1000,7,4,11,1
"A1",2004,2024,"Global_strength_difference",0.82291729799912,"POSITIVE",1,0.975206500862229,0.975206500862229,0.975206500862229,1
"A2",2004,2024,"Global_strength_difference",0.82291729799912,"POSITIVE",1000,0.804595398992479,0.490150587378459,1.18081952710465,1
"A3",2004,2024,"Global_strength_difference",0.82291729799912,"POSITIVE",1000,0.771216250875302,0.358865787457631,1.15081918243631,1
