"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Successful_repetitions","Success_rate","Retention_frequency","Primary_state_match_proportion","Same_sign_when_retained","Median_edge_weight","Lower_edge_weight","Upper_edge_weight"
"A2",2004,"VCF0806--VCF0809","VCF0806","VCF0809",0.37199407703599,1000,1,1,1,1,0.37199407703599,0.37199407703599,0.37199407703599
"A2",2004,"VCF0806--VCF0838","VCF0806","VCF0838",0,1000,1,0,1,,0,0,0
"A2",2004,"VCF0809--VCF0838","VCF0809","VCF0838",0.055711694432488,1000,1,1,1,1,0.055711694432488,0.055711694432488,0.055711694432488
"A2",2004,"VCF0806--VCF0839","VCF0806","VCF0839",0.202102045526152,1000,1,1,1,1,0.202102045526152,0.202102045526152,0.202102045526152
"A2",2004,"VCF0809--VCF0839","VCF0809","VCF0839",0.109000188940431,1000,1,1,1,1,0.109000188940431,0.109000188940431,0.109000188940431
"A2",2004,"VCF0838--VCF0839","VCF0838","VCF0839",0.0766442393357764,1000,1,1,1,1,0.0766442393357764,0.0766442393357764,0.0766442393357764
"A2",2004,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.0181396986119873,1000,1,1,1,1,0.0181396986119873,0.0181396986119873,0.0181396986119873
"A2",2004,"VCF0809--VCF0879a","VCF0809","VCF0879a",0,1000,1,0,1,,0,0,0
"A2",2004,"VCF0838--VCF0879a","VCF0838","VCF0879a",0,1000,1,0,1,,0,0,0
"A2",2004,"VCF0839--VCF0879a","VCF0839","VCF0879a",0,1000,1,0,1,,0,0,0
"A2",2004,"VCF0806--VCF0888","VCF0806","VCF0888",-0.0229081218231701,1000,1,1,1,1,-0.0229081218231701,-0.0229081218231701,-0.0229081218231701
"A2",2004,"VCF0809--VCF0888","VCF0809","VCF0888",-0.0294227504442804,1000,1,1,1,1,-0.0294227504442804,-0.0294227504442804,-0.0294227504442804
"A2",2004,"VCF0838--VCF0888","VCF0838","VCF0888",-0.0374456271586838,1000,1,1,1,1,-0.0374456271586838,-0.0374456271586838,-0.0374456271586838
"A2",2004,"VCF0839--VCF0888","VCF0839","VCF0888",0,1000,1,0,1,,0,0,0
"A2",2004,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.0743041345843866,1000,1,1,1,1,-0.0743041345843866,-0.0743041345843866,-0.0743041345843866
"A2",2004,"VCF0806--VCF0890","VCF0806","VCF0890",0.112679497729288,1000,1,1,1,1,0.112679497729288,0.112679497729288,0.112679497729288
"A2",2004,"VCF0809--VCF0890","VCF0809","VCF0890",0.086021602736654,1000,1,1,1,1,0.086021602736654,0.086021602736654,0.086021602736654
"A2",2004,"VCF0838--VCF0890","VCF0838","VCF0890",0.0613363217966801,1000,1,1,1,1,0.0613363217966801,0.0613363217966801,0.0613363217966801
"A2",2004,"VCF0839--VCF0890","VCF0839","VCF0890",0.302310172712598,1000,1,1,1,1,0.302310172712598,0.302310172712598,0.302310172712598
"A2",2004,"VCF0879a--VCF0890","VCF0879a","VCF0890",0.0499912636732557,1000,1,1,1,1,0.0499912636732557,0.0499912636732557,0.0499912636732557
"A2",2004,"VCF0888--VCF0890","VCF0888","VCF0890",0.246375316880606,1000,1,1,1,1,0.246375316880606,0.246375316880606,0.246375316880606
"A2",2004,"VCF0806--VCF0894","VCF0806","VCF0894",0,1000,1,0,1,,0,0,0
"A2",2004,"VCF0809--VCF0894","VCF0809","VCF0894",0.253193469933843,1000,1,1,1,1,0.253193469933843,0.253193469933843,0.253193469933843
"A2",2004,"VCF0838--VCF0894","VCF0838","VCF0894",0,1000,1,0,1,,0,0,0
"A2",2004,"VCF0839--VCF0894","VCF0839","VCF0894",0.178137225084089,1000,1,1,1,1,0.178137225084089,0.178137225084089,0.178137225084089
"A2",2004,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.0872300472315628,1000,1,1,1,1,0.0872300472315628,0.0872300472315628,0.0872300472315628
"A2",2004,"VCF0888--VCF0894","VCF0888","VCF0894",0,1000,1,0,1,,0,0,0
"A2",2004,"VCF0890--VCF0894","VCF0890","VCF0894",0.163619760585957,1000,1,1,1,1,0.163619760585957,0.163619760585957,0.163619760585957
"A2",2004,"VCF0806--VCF9223","VCF0806","VCF9223",0,1000,1,0,1,,0,0,0
"A2",2004,"VCF0809--VCF9223","VCF0809","VCF9223",-0.0428131826413368,1000,1,1,1,1,-0.0428131826413368,-0.0428131826413368,-0.0428131826413368
"A2",2004,"VCF0838--VCF9223","VCF0838","VCF9223",0.0742691350936274,1000,1,1,1,1,0.0742691350936274,0.0742691350936274,0.0742691350936274
