"Arm_ID","Wave","Planned_repetitions","Successful_repetitions","Success_rate","Median_retained_edges","Lower_retained_edges","Upper_retained_edges","Median_density","Lower_density","Upper_density","Median_global_strength","Lower_global_strength","Upper_global_strength","Dense_warning_rate","Median_lambda_ratio","Lowest_lambda_selected_rate"
"A2",2004,1000,1000,1,25,25,25,0.694444444444444,0.694444444444444,0.694444444444444,3.27385693104573,3.27385693104573,3.27385693104573,1,0.0673415065775082,0
"A2",2012,1000,1000,1,26,21,31.025,0.722222222222222,0.583333333333333,0.861805555555555,3.59797119129043,3.23979304475826,4.34467416582683,0.994,0.0559081018251223,0.004
"A2",2016,1000,1000,1,30,26,34,0.833333333333333,0.722222222222222,0.944444444444444,3.94041314480717,3.56989393286756,4.40111023809303,1,0.0319926713779738,0.033
"A2",2020,1000,1000,1,30,27,33,0.833333333333333,0.75,0.916666666666667,4.15401535338901,3.87255336195161,4.54516609454078,1,0.0242012826479438,0.066
"A2",2024,1000,1000,1,31,27,34,0.861111111111111,0.75,0.944444444444444,4.07845233003821,3.76400751842419,4.45467645815038,1,0.0265608778294669,0.068
"A3",2004,1000,1000,1,15,15,15,0.416666666666667,0.416666666666667,0.416666666666667,3.08268738942674,3.08268738942674,3.08268738942674,0,0.0138488637139387,0
"A3",2012,1000,1000,1,17,15,21,0.472222222222222,0.416666666666667,0.583333333333333,3.5630185358199,3.14293720317246,4.11994983731277,0,0.0145082877849594,0.289
"A3",2016,1000,1000,1,19,16,22.025,0.527777777777778,0.444444444444444,0.611805555555555,3.63655505562409,3.21810697118051,4.09966011944487,0,0.01,0.578
"A3",2020,1000,1000,1,22,18,25,0.611111111111111,0.5,0.694444444444444,4.00322765599178,3.57616623322086,4.35109453594975,0,0.01,0.605
"A3",2024,1000,1000,1,22,19,26,0.611111111111111,0.527777777777778,0.722222222222222,3.85390364030204,3.44155317688437,4.23350657186304,0,0.01,0.728
