"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Sensitivity_edge_weight","Primary_retained","Sensitivity_retained","Primary_sign","Sensitivity_sign","State_matches_primary","Absolute_edge_difference"
"A1",2004,"VCF0806--VCF0809","VCF0806","VCF0809",0.37199407703599,0.394969960174472,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0229758831384823
"A1",2004,"VCF0806--VCF0838","VCF0806","VCF0838",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2004,"VCF0809--VCF0838","VCF0809","VCF0838",0.055711694432488,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.055711694432488
"A1",2004,"VCF0806--VCF0839","VCF0806","VCF0839",0.202102045526152,0.217191393756195,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0150893482300431
"A1",2004,"VCF0809--VCF0839","VCF0809","VCF0839",0.109000188940431,0.0930750923528048,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0159250965876263
"A1",2004,"VCF0838--VCF0839","VCF0838","VCF0839",0.0766442393357764,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0766442393357764
"A1",2004,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.0181396986119873,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0181396986119873
"A1",2004,"VCF0809--VCF0879a","VCF0809","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2004,"VCF0838--VCF0879a","VCF0838","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2004,"VCF0839--VCF0879a","VCF0839","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2004,"VCF0806--VCF0888","VCF0806","VCF0888",-0.0229081218231701,0,TRUE,FALSE,"NEGATIVE","ZERO",FALSE,0.0229081218231701
"A1",2004,"VCF0809--VCF0888","VCF0809","VCF0888",-0.0294227504442804,0,TRUE,FALSE,"NEGATIVE","ZERO",FALSE,0.0294227504442804
"A1",2004,"VCF0838--VCF0888","VCF0838","VCF0888",-0.0374456271586838,0,TRUE,FALSE,"NEGATIVE","ZERO",FALSE,0.0374456271586838
"A1",2004,"VCF0839--VCF0888","VCF0839","VCF0888",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2004,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.0743041345843866,-0.101579839101436,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.0272757045170491
"A1",2004,"VCF0806--VCF0890","VCF0806","VCF0890",0.112679497729288,0.128477090747899,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0157975930186115
"A1",2004,"VCF0809--VCF0890","VCF0809","VCF0890",0.086021602736654,0.0826061557470412,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00341544698961284
"A1",2004,"VCF0838--VCF0890","VCF0838","VCF0890",0.0613363217966801,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0613363217966801
"A1",2004,"VCF0839--VCF0890","VCF0839","VCF0890",0.302310172712598,0.307697936444582,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00538776373198452
"A1",2004,"VCF0879a--VCF0890","VCF0879a","VCF0890",0.0499912636732557,0.0973192591527999,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0473279954795442
"A1",2004,"VCF0888--VCF0890","VCF0888","VCF0890",0.246375316880606,0.307697439284034,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0613221224034273
"A1",2004,"VCF0806--VCF0894","VCF0806","VCF0894",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2004,"VCF0809--VCF0894","VCF0809","VCF0894",0.253193469933843,0.284526686024327,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0313332160904839
"A1",2004,"VCF0838--VCF0894","VCF0838","VCF0894",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2004,"VCF0839--VCF0894","VCF0839","VCF0894",0.178137225084089,0.202563773152936,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0244265480688461
"A1",2004,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.0872300472315628,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0872300472315628
"A1",2004,"VCF0888--VCF0894","VCF0888","VCF0894",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2004,"VCF0890--VCF0894","VCF0890","VCF0894",0.163619760585957,0.175737961379642,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0121182007936857
"A1",2004,"VCF0806--VCF9223","VCF0806","VCF9223",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2004,"VCF0809--VCF9223","VCF0809","VCF9223",-0.0428131826413368,0,TRUE,FALSE,"NEGATIVE","ZERO",FALSE,0.0428131826413368
"A1",2004,"VCF0838--VCF9223","VCF0838","VCF9223",0.0742691350936274,0.118263803342154,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0439946682485267
"A1",2004,"VCF0839--VCF9223","VCF0839","VCF9223",-0.0798569215033069,-0.0939407670789741,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.0140838455756672
"A1",2004,"VCF0879a--VCF9223","VCF0879a","VCF9223",0.449956286828701,0.477040231687439,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0270839448587377
"A1",2004,"VCF0888--VCF9223","VCF0888","VCF9223",-0.0883941487208757,0,TRUE,FALSE,"NEGATIVE","ZERO",FALSE,0.0883941487208757
"A1",2004,"VCF0890--VCF9223","VCF0890","VCF9223",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2004,"VCF0894--VCF9223","VCF0894","VCF9223",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2012,"VCF0806--VCF0809","VCF0806","VCF0809",0.303846021908369,0.306297994638138,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00245197272976833
