"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Successful_repetitions_saved","Success_rate","Retention_frequency_saved","Primary_state_match_proportion_saved","Same_sign_when_retained","Median_edge_weight_saved","Lower_edge_weight_saved","Upper_edge_weight_saved","Successful_repetitions_recomputed","Retention_frequency_recomputed","Primary_state_match_proportion_recomputed","Median_edge_weight_recomputed","Lower_edge_weight_recomputed","Upper_edge_weight_recomputed","Difference_successful_repetitions","Difference_retention_frequency","Difference_primary_state_match","Difference_median_edge","Difference_lower_edge","Difference_upper_edge","Maximum_row_difference"
"A2",2004,"VCF0839--VCF0894","VCF0839","VCF0894",0.178137225084089,1000,1,1,1,1,0.178137225084089,0.178137225084089,0.178137225084089,1000,1,1,0.178137225084089,0.178137225084089,0.178137225084089,0,0,0,-4.9960036108132e-16,-4.9960036108132e-16,-4.9960036108132e-16,4.9960036108132e-16
"A2",2012,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.122256344533936,1000,1,0.993,0.993,1,-0.113407341777394,-0.190168466711632,-0.024424596029595,1000,0.993,0.993,-0.113407341777394,-0.190168466711632,-0.024424596029595,0,0,0,-4.44089209850063e-16,-4.9960036108132e-16,-3.81639164714898e-17,4.9960036108132e-16
"A2",2012,"VCF0806--VCF0894","VCF0806","VCF0894",0.14949343454668,1000,1,0.999,0.999,1,0.148535560262032,0.0657175894745599,0.226308665958973,1000,0.999,0.999,0.148535560262032,0.0657175894745599,0.226308665958973,0,0,0,4.71844785465692e-16,4.16333634234434e-17,4.9960036108132e-16,4.9960036108132e-16
"A2",2016,"VCF0839--VCF0894","VCF0839","VCF0894",0.329872988221807,1000,1,1,1,1,0.326008896983702,0.250166411185351,0.396840495016927,1000,1,1,0.326008896983702,0.250166411185351,0.396840495016927,0,0,0,4.9960036108132e-16,-3.88578058618805e-16,3.88578058618805e-16,4.9960036108132e-16
"A2",2020,"VCF0839--VCF0890","VCF0839","VCF0890",0.234815190156645,1000,1,1,1,1,0.230416634088038,0.135715038742766,0.320690634671541,1000,1,1,0.230416634088038,0.135715038742766,0.320690634671541,0,0,0,0,3.33066907387547e-16,4.9960036108132e-16,4.9960036108132e-16
"A2",2024,"VCF0838--VCF9223","VCF0838","VCF9223",0.255748972788864,1000,1,1,1,1,0.252962605564182,0.173860230033356,0.329076593977539,1000,1,1,0.252962605564182,0.173860230033356,0.329076593977539,0,0,0,-4.9960036108132e-16,1.11022302462516e-16,4.9960036108132e-16,4.9960036108132e-16
"A3",2012,"VCF0806--VCF0838","VCF0806","VCF0838",0.163141088733884,1000,1,0.978,0.978,1,0.161885579457137,0.0893419357690084,0.237888549431194,1000,0.978,0.978,0.161885579457137,0.0893419357690084,0.237888549431194,0,0,0,2.4980018054066e-16,1.38777878078145e-17,4.9960036108132e-16,4.9960036108132e-16
"A3",2012,"VCF0809--VCF0839","VCF0809","VCF0839",0.189210653527643,1000,1,0.994,0.994,1,0.189583682531577,0.104894454798693,0.269618608038477,1000,0.994,0.994,0.189583682531577,0.104894454798693,0.269618608038477,0,0,0,1.94289029309402e-16,4.16333634234434e-16,-4.9960036108132e-16,4.9960036108132e-16
"A3",2012,"VCF0839--VCF0888","VCF0839","VCF0888",0.0279994439971449,1000,1,0.127,0.127,1,0,0,0.122474993030321,1000,0.127,0.127,0,0,0.122474993030321,0,0,0,0,0,-4.9960036108132e-16,4.9960036108132e-16
"A3",2012,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.14055343388669,1000,1,0.939,0.939,1,0.142416545235324,0,0.229479507247064,1000,0.939,0.939,0.142416545235324,0,0.229479507247064,0,0,0,-4.9960036108132e-16,0,1.94289029309402e-16,4.9960036108132e-16
"A3",2024,"VCF0806--VCF0809","VCF0806","VCF0809",0.286446415679923,1000,1,1,1,1,0.287212498697456,0.206077609896822,0.367612863778769,1000,1,1,0.287212498697456,0.206077609896822,0.367612863778769,0,0,0,4.9960036108132e-16,-3.60822483003176e-16,-2.77555756156289e-16,4.9960036108132e-16
"A3",2024,"VCF0809--VCF0839","VCF0809","VCF0839",0.282103083965334,1000,1,1,1,1,0.283424672533035,0.193314889837841,0.359972392180594,1000,1,1,0.283424672533035,0.193314889837841,0.359972392180594,0,0,0,-3.88578058618805e-16,4.16333634234434e-16,4.9960036108132e-16,4.9960036108132e-16
"A3",2024,"VCF0809--VCF0888","VCF0809","VCF0888",-0.0352736970916302,1000,1,0.198,0.198,1,0,-0.126945809637135,0,1000,0.198,0.198,0,-0.126945809637135,0,0,0,0,0,-4.9960036108132e-16,0,4.9960036108132e-16
"A2",2020,"VCF0888--VCF9223","VCF0888","VCF9223",-0.11192935869046,1000,1,0.987,0.987,1,-0.107222905012326,-0.193716342403742,-0.0158516855188579,1000,0.987,0.987,-0.107222905012326,-0.193716342403742,-0.0158516855188579,0,0,0,4.85722573273506e-16,2.4980018054066e-16,-1.04083408558608e-17,4.85722573273506e-16
"A3",2016,"VCF0888--VCF0890","VCF0888","VCF0890",0.215890208797959,1000,1,0.983,0.983,1,0.215739177551169,0.121363547531829,0.314158568545655,1000,0.983,0.983,0.215739177551169,0.121363547531829,0.314158568545655,0,0,0,4.44089209850063e-16,4.85722573273506e-16,-1.66533453693773e-16,4.85722573273506e-16
"A2",2012,"VCF0809--VCF0839","VCF0809","VCF0839",0.189210653527643,1000,1,1,1,1,0.186756761039195,0.106463731284556,0.264261449458176,1000,1,1,0.186756761039195,0.106463731284556,0.264261449458176,0,0,0,4.71844785465692e-16,1.2490009027033e-16,2.77555756156289e-16,4.71844785465692e-16
"A2",2012,"VCF0838--VCF0890","VCF0838","VCF0890",0.173712290542379,1000,1,0.999,0.999,1,0.139894874959875,0.0638615294460955,0.23492890469461,1000,0.999,0.999,0.139894874959875,0.0638615294460955,0.23492890469461,0,0,0,-4.71844785465692e-16,4.16333634234434e-17,3.05311331771918e-16,4.71844785465692e-16
