"Arm_ID","Wave","Repetition","Seed","Fixed_sample","N","Sample_hash","Minimum_observed_categories","Zero_cell_pairs","Sparse_cell_pairs","Minimum_cell_count","Correlation_success","Minimum_correlation_eigenvalue","Correlation_warning","Correlation_message","Correlation_error","Network_success","Selected_lambda","Lambda_max","Lambda_ratio","Dense_warning","Retained_edges","Global_strength","Network_warning","Network_message","Network_error","Elapsed_seconds","Success"
"A2",2012,1,20780832,FALSE,789,"A5A38007C16723B1EAC38ED59208B0FD5B3EC3659B953F9FEC32D1716EF9513C",3,2,11,0,TRUE,0.368746315434137,"","","",TRUE,0.0341353021117564,0.556320371066628,0.0613590727341317,TRUE,27,3.53126669221125,"A dense regularized network was selected (lambda < 0.1 * lambda.max). Recent work indicates a possible drop in specificity. Interpret the presence of the smallest edges with care. Setting threshold = TRUE will enforce higher specificity, at the cost of sensitivity.","","",0.15,TRUE
"A3",2012,1,20780832,FALSE,789,"A5A38007C16723B1EAC38ED59208B0FD5B3EC3659B953F9FEC32D1716EF9513C",3,2,11,0,TRUE,0.368746315434137,"","","",TRUE,0.00556320371066628,0.556320371066628,0.01,TRUE,18,3.53665747093323,"","Note: Network with lowest lambda selected as best network: assumption of sparsity might be violated.","",0.17,TRUE
"A2",2012,2,20780833,FALSE,789,"BADAF8B711C134F1C18FE6E88A8ECBAA7CDFFCB4BB67C8E458C634A0E3C08652",3,1,14,0,TRUE,0.35354721851728,"","","",TRUE,0.0355660937836867,0.607238643817683,0.0585702081805667,TRUE,23,3.51171471966258,"A dense regularized network was selected (lambda < 0.1 * lambda.max). Recent work indicates a possible drop in specificity. Interpret the presence of the smallest edges with care. Setting threshold = TRUE will enforce higher specificity, at the cost of sensitivity.","","",0.11,TRUE
"A3",2012,2,20780833,FALSE,789,"BADAF8B711C134F1C18FE6E88A8ECBAA7CDFFCB4BB67C8E458C634A0E3C08652",3,1,14,0,TRUE,0.35354721851728,"","","",TRUE,0.00607238643817683,0.607238643817683,0.01,TRUE,19,3.74428634979459,"","Note: Network with lowest lambda selected as best network: assumption of sparsity might be violated.","",0.0899999999999999,TRUE
"A2",2012,3,20780834,FALSE,789,"8886C6400E6ED3EFC20EFCB11DCCCACC2E7AF6288017145C2D72F09D11C3B1C1",3,3,16,0,TRUE,0.320582515898846,"","","",TRUE,0.0695098600960046,0.648251281669183,0.107226722201032,FALSE,20,3.1301076436105,"","","",0.0999999999999996,TRUE
"A3",2012,3,20780834,FALSE,789,"8886C6400E6ED3EFC20EFCB11DCCCACC2E7AF6288017145C2D72F09D11C3B1C1",3,3,16,0,TRUE,0.320582515898846,"","","",TRUE,0.0113283752505828,0.648251281669183,0.0174752840000768,FALSE,17,3.44196678836511,"","","",0.0999999999999996,TRUE
"A2",2012,4,20780835,FALSE,789,"70B22664F83EEE000F413F4A17FE947570ED286DAB1402771FA0EAF099B5AE6E",3,4,14,0,TRUE,0.32259816923611,"","","",TRUE,0.0284768629537142,0.613515414107657,0.0464158883361278,TRUE,24,3.57744745856839,"A dense regularized network was selected (lambda < 0.1 * lambda.max). Recent work indicates a possible drop in specificity. Interpret the presence of the smallest edges with care. Setting threshold = TRUE will enforce higher specificity, at the cost of sensitivity.","","",0.11,TRUE
"A3",2012,4,20780835,FALSE,789,"70B22664F83EEE000F413F4A17FE947570ED286DAB1402771FA0EAF099B5AE6E",3,4,14,0,TRUE,0.32259816923611,"","","",TRUE,0.00774168648158846,0.613515414107657,0.0126185688306602,FALSE,18,3.6789730920642,"","","",0.1,TRUE
"A2",2012,5,20780836,FALSE,789,"952DA0E20EB4E90040C56ED71F3764D58B6F8A159BE42A227D6C15012D1EFB50",3,3,11,0,TRUE,0.282663538249548,"","","",TRUE,0.0272884806770812,0.675956502761344,0.0403701725859655,TRUE,24,3.56516771302506,"A dense regularized network was selected (lambda < 0.1 * lambda.max). Recent work indicates a possible drop in specificity. Interpret the presence of the smallest edges with care. Setting threshold = TRUE will enforce higher specificity, at the cost of sensitivity.","","",0.0899999999999999,TRUE
"A3",2012,5,20780836,FALSE,789,"952DA0E20EB4E90040C56ED71F3764D58B6F8A159BE42A227D6C15012D1EFB50",3,3,11,0,TRUE,0.282663538249548,"","","",TRUE,0.00708142680493395,0.675956502761344,0.0104761575278967,FALSE,17,3.683208770764,"","","",0.11,TRUE
