"File","Role","Project","Size_bytes","SHA256"
"09B_specificity_sample_size_sensitivity_engine.R","EXECUTION_ENGINE","ANES_ANALYSIS",49155,"4D6835085F2B355AF2D41EC93E8AF01A788DE6A5B39F9893646364BD2CBD6EBD"
"09B_correct_edge_state_audit.R","DERIVED_EDGE_STATE_CORRECTION","ANES_ANALYSIS",11577,"03354177B7FF487B5B511C0F820D369CC48646DC9AB7AF5388BC1750F968CC2E"
"09B_correct_diagnostic_labels.R","DIAGNOSTIC_LABEL_CORRECTION","ANES_ANALYSIS",6281,"247109E557AF47288E8FB910FF9C18770628BB19D51069E38A060275474EC9B1"
"09B_independent_audit.R","INDEPENDENT_AUDIT","ANES_ANALYSIS",16468,"C5F2A974EA35F36F55F7C9A80BFCF9A490060FAD0C3CDD47BE283FED4BE21306"
"09B_specificity_and_sample_size_sensitivity.Rmd","REPORT_SOURCE","ANES_ANALYSIS",5939,"7A7E32B34A660F0AFBDD011AC234ED547085E8F74D8ED48FA5C1F55C9B9C313E"
"09B_specificity_and_sample_size_sensitivity.html","RENDERED_REPORT","ANES_ANALYSIS",675343,"C88802C5467CE2CE5A5CAB180D8E6946A20104706FC1138D892708C132790FC9"
"STEP09B_SPECIFICITY_SAMPLE_SIZE_SENSITIVITY_FREEZE.md","PRE_RESULT_FREEZE","ERP",3963,"A87E8DA0648570FA192C5A459F931B0DDE236DB5C92FDDFF2257ECB23EC399D0"
"STEP09B_SPECIFICITY_SAMPLE_SIZE_SENSITIVITY_RESULT.md","RESULT_MEMO","ERP",6043,"BAFAEA7FA78A19ED7A8CE62D7D5822397BEEE3355ABBC10B5FEA7FD22A03E432"
"step09b_primary_claim_registry.csv","PRE_RESULT_CLAIM_REGISTRY","ERP",66481,"226B3928251901FAB8B18CBB01FF0975525917CC6753A2160095FA1ADD697D02"
"step09b_arm_specification.csv","ARM_SPECIFICATION","ERP",1029,"6FD3D9254A73910E029E47B5D7EB4F50EB386A61668CEE3DD10BE76A0AF775D0"
"step09b_execution_authorisation.csv","EXECUTION_AUTHORISATION","ERP",614,"17DCF1E9E7BAB7A36951EF8D88ECCE66611EE4FC77D5328E784CEFEF5BF02A4C"
