"Claim_ID","Wave","Node_1","Node_2","Primary_edge_weight","Primary_retained","Module_ID","Variant","Applicable","Sensitivity_edge_weight","Absolute_difference","Robustness_status","Evidence_status"
"EDGE_2004_VCF0806_VCF0809",2004,"VCF0806","VCF0809",0.37199407703599,TRUE,"S09_D11","PAIRWISE_AVAILABLE",TRUE,0.377404837337836,0.00541076030184662,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"EDGE_2004_VCF0806_VCF0809",2004,"VCF0806","VCF0809",0.37199407703599,TRUE,"S09_D20A_GAMMA","GAMMA_025",TRUE,0.37199407703599,0,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"EDGE_2004_VCF0806_VCF0809",2004,"VCF0806","VCF0809",0.37199407703599,TRUE,"S09_D20A_NO_VCF0839","NO_VCF0839",TRUE,0.418968669917927,0.0469745928819371,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"EDGE_2004_VCF0806_VCF0809",2004,"VCF0806","VCF0809",0.37199407703599,TRUE,"S09_D15_WEIGHT","W_CDF",TRUE,0.378391668528793,0.00639759149280339,"UNCHANGED","REUSED_VALIDATED_POINT_NETWORK"
"EDGE_2004_VCF0806_VCF0809",2004,"VCF0806","VCF0809",0.37199407703599,TRUE,"S09_D15_WEIGHT","W_POST_COMPAT",TRUE,0.381864316576955,0.00987023954096511,"UNCHANGED","REUSED_VALIDATED_POINT_NETWORK"
"EDGE_2004_VCF0806_VCF0809",2004,"VCF0806","VCF0809",0.37199407703599,TRUE,"S09_D19_MODE","ALL_INTERNET",FALSE,,,"NOT_APPLICABLE","OUTSIDE_MODULE_SCOPE"
"EDGE_2004_VCF0806_VCF0838",2004,"VCF0806","VCF0838",0,FALSE,"S09_D11","PAIRWISE_AVAILABLE",TRUE,0,0,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"EDGE_2004_VCF0806_VCF0838",2004,"VCF0806","VCF0838",0,FALSE,"S09_D20A_GAMMA","GAMMA_025",TRUE,0,0,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"EDGE_2004_VCF0806_VCF0838",2004,"VCF0806","VCF0838",0,FALSE,"S09_D20A_NO_VCF0839","NO_VCF0839",TRUE,0,0,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"EDGE_2004_VCF0806_VCF0838",2004,"VCF0806","VCF0838",0,FALSE,"S09_D15_WEIGHT","W_CDF",TRUE,0,0,"UNCHANGED","REUSED_VALIDATED_POINT_NETWORK"
