"Module_ID","Variant","Wave","Edge_ID","Node_1","Node_2","Edge_weight_primary","Edge_weight_sensitivity","Retained_primary","Retained_sensitivity","Sign_primary","Sign_sensitivity","Signed_difference","Absolute_difference","Retained_status_changed","Sign_reversed","Robustness_status","Estimation_status"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0806--VCF0809","VCF0806","VCF0809",0.37199407703599,0.377404837337836,TRUE,TRUE,"POSITIVE","POSITIVE",0.00541076030184662,0.00541076030184662,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0806--VCF0838","VCF0806","VCF0838",0,0,FALSE,FALSE,"ZERO","ZERO",0,0,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0809--VCF0838","VCF0809","VCF0838",0.055711694432488,0.0348281343136173,TRUE,TRUE,"POSITIVE","POSITIVE",-0.0208835601188707,0.0208835601188707,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0806--VCF0839","VCF0806","VCF0839",0.202102045526152,0.240594850517889,TRUE,TRUE,"POSITIVE","POSITIVE",0.0384928049917369,0.0384928049917369,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0809--VCF0839","VCF0809","VCF0839",0.109000188940431,0.123231427842364,TRUE,TRUE,"POSITIVE","POSITIVE",0.0142312389019325,0.0142312389019325,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0838--VCF0839","VCF0838","VCF0839",0.0766442393357764,0.0665823174743279,TRUE,TRUE,"POSITIVE","POSITIVE",-0.0100619218614485,0.0100619218614485,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.0181396986119873,0.0361848959838962,TRUE,TRUE,"POSITIVE","POSITIVE",0.0180451973719089,0.0180451973719089,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0809--VCF0879a","VCF0809","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",0,0,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0838--VCF0879a","VCF0838","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",0,0,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0839--VCF0879a","VCF0839","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",0,0,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0806--VCF0888","VCF0806","VCF0888",-0.0229081218231701,-0.0357063361931486,TRUE,TRUE,"NEGATIVE","NEGATIVE",-0.0127982143699785,0.0127982143699785,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0809--VCF0888","VCF0809","VCF0888",-0.0294227504442804,0,TRUE,FALSE,"NEGATIVE","ZERO",0.0294227504442804,0.0294227504442804,TRUE,FALSE,"CHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0838--VCF0888","VCF0838","VCF0888",-0.0374456271586838,-0.0464946281497913,TRUE,TRUE,"NEGATIVE","NEGATIVE",-0.00904900099110751,0.00904900099110751,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0839--VCF0888","VCF0839","VCF0888",0,0,FALSE,FALSE,"ZERO","ZERO",0,0,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.0743041345843866,-0.0721778147455374,TRUE,TRUE,"NEGATIVE","NEGATIVE",0.00212631983884923,0.00212631983884923,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0806--VCF0890","VCF0806","VCF0890",0.112679497729288,0.055084751299356,TRUE,TRUE,"POSITIVE","POSITIVE",-0.0575947464299319,0.0575947464299319,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0809--VCF0890","VCF0809","VCF0890",0.086021602736654,0.10851110508886,TRUE,TRUE,"POSITIVE","POSITIVE",0.0224895023522055,0.0224895023522055,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0838--VCF0890","VCF0838","VCF0890",0.0613363217966801,0.048080385733552,TRUE,TRUE,"POSITIVE","POSITIVE",-0.0132559360631281,0.0132559360631281,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0839--VCF0890","VCF0839","VCF0890",0.302310172712598,0.273687033315201,TRUE,TRUE,"POSITIVE","POSITIVE",-0.0286231393973971,0.0286231393973971,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0879a--VCF0890","VCF0879a","VCF0890",0.0499912636732557,0.032293834271121,TRUE,TRUE,"POSITIVE","POSITIVE",-0.0176974294021347,0.0176974294021347,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0888--VCF0890","VCF0888","VCF0890",0.246375316880606,0.243751133606584,TRUE,TRUE,"POSITIVE","POSITIVE",-0.00262418327402267,0.00262418327402267,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0806--VCF0894","VCF0806","VCF0894",0,0,FALSE,FALSE,"ZERO","ZERO",0,0,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2004,"VCF0809--VCF0894","VCF0809","VCF0894",0.253193469933843,0.233768492397161,TRUE,TRUE,"POSITIVE","POSITIVE",-0.019424977536682,0.019424977536682,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
