"Graph_key","Present","Correct_node_order","All_finite","Symmetric","Zero_diagonal","Passed"
"2004__U_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2012__U_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2016__U_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2020__U_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2024__U_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2004__W_CDF_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2012__W_CDF_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2016__W_CDF_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2020__W_CDF_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2024__W_CDF_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2004__W_POST_COMPAT_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2012__W_POST_COMPAT_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2016__W_POST_COMPAT_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2020__W_POST_COMPAT_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2024__W_POST_COMPAT_RAWN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
