"Module_ID","Variant","Wave","Compared_edges","Edge_weight_correlation","Median_absolute_edge_difference","Mean_absolute_edge_difference","Maximum_absolute_edge_difference","Primary_retained_edges","Sensitivity_retained_edges","Common_retained_edges","Retained_edge_union","Retained_edge_Jaccard","Sign_agreement_common_retained","Sign_reversals_common_retained","Primary_global_strength","Sensitivity_global_strength","Global_strength_difference","Estimation_status"
"S09_D15_WEIGHT","W_CDF",2004,36,0.989788931595717,0.00528537318052286,0.01179340085055,0.0476402050162022,25,24,23,26,0.884615384615385,1,0,3.27385693104573,3.27244895558875,-0.00140797545698135,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_POST_COMPAT",2004,36,0.990160294375292,0.00481786499744064,0.0116444482914561,0.0444995625435269,25,24,23,26,0.884615384615385,1,0,3.27385693104573,3.28904329831802,0.0151863672722912,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_CDF",2012,36,0.990012909578524,0.0135545071625707,0.0148067280502985,0.0356134084603727,32,31,30,33,0.909090909090909,1,0,3.9598312246387,3.93241199226734,-0.0274192323713658,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_POST_COMPAT",2012,36,0.990012909578524,0.0135545071625707,0.0148067280502985,0.0356134084603727,32,31,30,33,0.909090909090909,1,0,3.9598312246387,3.93241199226734,-0.0274192323713658,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_CDF",2016,36,0.988379499168577,0.0112370973895308,0.0148844032932091,0.0474845665732456,32,31,30,33,0.909090909090909,1,0,4.07371785353382,3.89375482866491,-0.179963024868912,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_POST_COMPAT",2016,36,0.988463535666888,0.0114076377105016,0.0147252060381247,0.043185291042731,32,31,30,33,0.909090909090909,1,0,4.07371785353382,3.90301115948259,-0.170706694051235,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_CDF",2020,36,0.993606908472117,0.0119409143688267,0.0120779884459296,0.036682291421093,32,30,30,32,0.9375,1,0,4.2104926353547,4.13598922111814,-0.074503414236557,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_POST_COMPAT",2020,36,0.988683081086079,0.0137227648469449,0.0162502552433475,0.0425410510914744,32,32,31,33,0.939393939393939,1,0,4.2104926353547,4.21089730599235,0.000404670637649929,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_CDF",2024,36,0.970957798676324,0.019879370425521,0.0220818727745408,0.0746052594179811,33,31,30,34,0.882352941176471,1,0,4.09677422904485,4.14987610150341,0.0531018724585604,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_POST_COMPAT",2024,36,0.972434687478383,0.0200275133698316,0.0223849260588483,0.0680775656205737,33,31,30,34,0.882352941176471,1,0,4.09677422904485,4.10205183834471,0.0052776092998581,"REUSED_VALIDATED_POINT_NETWORK"
