"Wave","Node","Category","N","Sample_N"
2012,"VCF0806",1,469,3062
2012,"VCF0806",2,496,3062
2012,"VCF0806",3,419,3062
2012,"VCF0806",4,588,3062
2012,"VCF0806",5,347,3062
2012,"VCF0806",6,329,3062
2012,"VCF0806",7,414,3062
2012,"VCF0809",1,416,3062
2012,"VCF0809",2,535,3062
2012,"VCF0809",3,458,3062
2012,"VCF0809",4,722,3062
2012,"VCF0809",5,416,3062
2012,"VCF0809",6,290,3062
2012,"VCF0809",7,225,3062
2012,"VCF0838",1,322,3062
2012,"VCF0838",2,828,3062
2012,"VCF0838",3,464,3062
2012,"VCF0838",4,1448,3062
2012,"VCF0839",1,298,3062
2012,"VCF0839",2,514,3062
2012,"VCF0839",3,535,3062
2012,"VCF0839",4,774,3062
2012,"VCF0839",5,545,3062
2012,"VCF0839",6,251,3062
2012,"VCF0839",7,145,3062
2012,"VCF0879a",1,1357,3062
2012,"VCF0879a",3,1246,3062
2012,"VCF0879a",5,459,3062
2012,"VCF0888",1,288,3062
2012,"VCF0888",2,1385,3062
2012,"VCF0888",3,1389,3062
2012,"VCF0890",1,427,3062
2012,"VCF0890",2,933,3062
2012,"VCF0890",3,1702,3062
2012,"VCF0894",1,1481,3062
2012,"VCF0894",2,1231,3062
2012,"VCF0894",3,350,3062
2012,"VCF9223",1,540,3062
2012,"VCF9223",2,577,3062
2012,"VCF9223",3,1356,3062
2012,"VCF9223",4,589,3062
2016,"VCF0806",1,345,1914
2016,"VCF0806",2,271,1914
2016,"VCF0806",3,223,1914
2016,"VCF0806",4,336,1914
2016,"VCF0806",5,192,1914
2016,"VCF0806",6,194,1914
2016,"VCF0806",7,353,1914
2016,"VCF0809",1,285,1914
2016,"VCF0809",2,314,1914
2016,"VCF0809",3,292,1914
2016,"VCF0809",4,411,1914
2016,"VCF0809",5,280,1914
2016,"VCF0809",6,169,1914
2016,"VCF0809",7,163,1914
2016,"VCF0838",1,208,1914
2016,"VCF0838",2,464,1914
2016,"VCF0838",3,299,1914
2016,"VCF0838",4,943,1914
2016,"VCF0839",1,245,1914
2016,"VCF0839",2,272,1914
2016,"VCF0839",3,303,1914
2016,"VCF0839",4,432,1914
2016,"VCF0839",5,318,1914
2016,"VCF0839",6,191,1914
2016,"VCF0839",7,153,1914
2016,"VCF0879a",1,849,1914
2016,"VCF0879a",3,726,1914
2016,"VCF0879a",5,339,1914
2016,"VCF0888",1,167,1914
2016,"VCF0888",2,627,1914
2016,"VCF0888",3,1120,1914
2016,"VCF0890",1,194,1914
2016,"VCF0890",2,473,1914
2016,"VCF0890",3,1247,1914
2016,"VCF0894",1,940,1914
2016,"VCF0894",2,650,1914
2016,"VCF0894",3,324,1914
2016,"VCF9223",1,286,1914
2016,"VCF9223",2,369,1914
2016,"VCF9223",3,786,1914
2016,"VCF9223",4,473,1914
2020,"VCF0806",1,833,5094
2020,"VCF0806",2,497,5094
2020,"VCF0806",3,572,5094
2020,"VCF0806",4,814,5094
