"Wave","Pair_index","Node_1","Node_2","Level_1","Level_2","Cell_N","Pairwise_N","Zero_cell","Cell_1_to_4"
2012,1,"VCF0806","VCF0809","1","1",214,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","2","1",93,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","3","1",53,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","4","1",23,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","5","1",10,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","6","1",9,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","7","1",14,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","1","2",125,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","2","2",175,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","3","2",91,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","4","2",73,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","5","2",24,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","6","2",22,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","7","2",25,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","1","3",54,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","2","3",91,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","3","3",109,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","4","3",94,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","5","3",53,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","6","3",34,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","7","3",23,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","1","4",26,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","2","4",73,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","3","4",90,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","4","4",250,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","5","4",116,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","6","4",90,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","7","4",77,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","1","5",17,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","2","5",36,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","3","5",38,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","4","5",85,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","5","5",82,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","6","5",85,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","7","5",73,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","1","6",13,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","2","6",19,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","3","6",28,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","4","6",36,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","5","6",44,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","6","6",69,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","7","6",81,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","1","7",20,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","2","7",9,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","3","7",10,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","4","7",27,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","5","7",18,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","6","7",20,3062,FALSE,FALSE
2012,1,"VCF0806","VCF0809","7","7",121,3062,FALSE,FALSE
2012,2,"VCF0806","VCF0838","1","1",101,3062,FALSE,FALSE
2012,2,"VCF0806","VCF0838","2","1",60,3062,FALSE,FALSE
2012,2,"VCF0806","VCF0838","3","1",40,3062,FALSE,FALSE
2012,2,"VCF0806","VCF0838","4","1",63,3062,FALSE,FALSE
2012,2,"VCF0806","VCF0838","5","1",23,3062,FALSE,FALSE
