"Module_ID","Variant","Wave","Edge_ID","Node_1","Node_2","Edge_weight_primary","Edge_weight_sensitivity","Retained_primary","Retained_sensitivity","Sign_primary","Sign_sensitivity","Signed_difference","Absolute_difference","Retained_status_changed","Sign_reversed","Robustness_status","Estimation_status"
"S09_D20A_NO_VCF0839","NO_VCF0839",2004,"VCF0806--VCF0809","VCF0806","VCF0809",0.37199407703599,0.418968669917927,TRUE,TRUE,"POSITIVE","POSITIVE",0.0469745928819371,0.0469745928819371,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2004,"VCF0806--VCF0838","VCF0806","VCF0838",0,0,FALSE,FALSE,"ZERO","ZERO",0,0,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2004,"VCF0809--VCF0838","VCF0809","VCF0838",0.055711694432488,0.0797140354436927,TRUE,TRUE,"POSITIVE","POSITIVE",0.0240023410112047,0.0240023410112047,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2004,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.0181396986119873,0.0258112242216587,TRUE,TRUE,"POSITIVE","POSITIVE",0.00767152560967136,0.00767152560967136,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2004,"VCF0809--VCF0879a","VCF0809","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",0,0,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2004,"VCF0838--VCF0879a","VCF0838","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",0,0,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2004,"VCF0806--VCF0888","VCF0806","VCF0888",-0.0229081218231701,-0.0340099219943034,TRUE,TRUE,"NEGATIVE","NEGATIVE",-0.0111018001711333,0.0111018001711333,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2004,"VCF0809--VCF0888","VCF0809","VCF0888",-0.0294227504442804,-0.0400773066138536,TRUE,TRUE,"NEGATIVE","NEGATIVE",-0.0106545561695731,0.0106545561695731,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2004,"VCF0838--VCF0888","VCF0838","VCF0888",-0.0374456271586838,-0.0487450570782965,TRUE,TRUE,"NEGATIVE","NEGATIVE",-0.0112994299196127,0.0112994299196127,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2004,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.0743041345843866,-0.0837044309140245,TRUE,TRUE,"NEGATIVE","NEGATIVE",-0.00940029632963783,0.00940029632963783,FALSE,FALSE,"UNCHANGED","ESTIMABLE_WITH_WARNINGS"
