"Input_key","Path","Exists","Expected_SHA256","Observed_SHA256","Hash_matches"
"scope","C:/Users/hua/Desktop/ERP/project_docs/decisions/step09_sensitivity_scope.csv",TRUE,"C9EF8FE37A11A7A576387549E2277CF2136024E44B1B8824ACFF261058F3EB60","C9EF8FE37A11A7A576387549E2277CF2136024E44B1B8824ACFF261058F3EB60",TRUE
"authorisation","C:/Users/hua/Desktop/ERP/project_docs/decisions/step09_execution_authorisation.csv",TRUE,"DEFCC7994E31548C45BE9D4C6BCF77E325DCE98D0B40C9EAD79E69D3099E6CD9","DEFCC7994E31548C45BE9D4C6BCF77E325DCE98D0B40C9EAD79E69D3099E6CD9",TRUE
"registry","C:/Users/hua/Desktop/ERP/project_docs/governance_audit/REVISED_PROPOSED_DECISION_REGISTRY_v5.csv",TRUE,"6F6E9A0567111FFACC5DA81642B4CB4E439DA2C6313D7E1EBB3BD73FD846036D","6F6E9A0567111FFACC5DA81642B4CB4E439DA2C6313D7E1EBB3BD73FD846036D",TRUE
"cleaned","D:/ANES_code/ANES_dissertation/data/cleaned/anes_cdf_20260205_cleaned_2004_2012_2016_2020_2024.rds",TRUE,"960B6C3B1E0718BC2C9FE3C070C7AFFF787D3FE06ADD31F348D8CC1396883F41","960B6C3B1E0718BC2C9FE3C070C7AFFF787D3FE06ADD31F348D8CC1396883F41",TRUE
"analysis_ready","D:/ANES_code/ANES_dissertation/data/analysis_ready/anes_cdf_20260205_analysis_ready_nine_node_complete_case_2004_2012_2016_2020_2024.rds",TRUE,"6726A0D548F8293E890AD380C4915097FDD4ABC1A51665D55E904A33F81432FA","6726A0D548F8293E890AD380C4915097FDD4ABC1A51665D55E904A33F81432FA",TRUE
"primary_poly","D:/ANES_code/ANES_dissertation/data/audit/anes_cdf_20260205_nine_node_complete_case_polychoric_diagnostics_2004_2012_2016_2020_2024.rds",TRUE,"0AE377EC4E71F2AEE5F92FA3BF2CA4637BC95BD7869B670B676B28EC56FD7425","0AE377EC4E71F2AEE5F92FA3BF2CA4637BC95BD7869B670B676B28EC56FD7425",TRUE
"primary_networks","D:/ANES_code/ANES_dissertation/outputs/models/formal/07_formal_five_wave_networks_gamma050.rds",TRUE,"B57D922A7E2AE925EECFDE2ADA6F3B6292F7188D1D389A086182E5481698B028","B57D922A7E2AE925EECFDE2ADA6F3B6292F7188D1D389A086182E5481698B028",TRUE
"primary_edges","D:/ANES_code/ANES_dissertation/outputs/tables/formal/07_formal_five_wave_edge_weights.csv",TRUE,"7478595C145C842235E6B6F2D595C0692B927A2DD577CA1EEE0B7FF9F748AD65","7478595C145C842235E6B6F2D595C0692B927A2DD577CA1EEE0B7FF9F748AD65",TRUE
"d15_bundle","D:/ANES_code/ANES_dissertation/outputs/models/pilot/d15_stage3b_five_wave_point_networks.rds",TRUE,"20131F38D3F2B11AE5473794BFDD77CD8E4AA0355F080B56B5EE56481A49D604","20131F38D3F2B11AE5473794BFDD77CD8E4AA0355F080B56B5EE56481A49D604",TRUE
"d15_validation","D:/ANES_code/ANES_dissertation/outputs/tables/pilot/d15_stage3b_five_wave_validation.csv",TRUE,"CD06818388441DA7945D7F2DB904B7A4AD03810BF38D8558AA55283694A8A598","CD06818388441DA7945D7F2DB904B7A4AD03810BF38D8558AA55283694A8A598",TRUE
