"Claim_ID","Wave","Node_1","Node_2","Primary_edge_weight","Primary_retained","Applicable_module_variants","Evaluable_module_variants","Any_not_evaluable","Observed_change_status","Evaluation_completeness","Final_robustness_status","Maximum_observed_absolute_difference"
"EDGE_2004_VCF0806_VCF0809",2004,"VCF0806","VCF0809",0.37199407703599,TRUE,5,5,FALSE,"UNCHANGED","COMPLETE","UNCHANGED",0.0469745928819371
"EDGE_2004_VCF0806_VCF0838",2004,"VCF0806","VCF0838",0,FALSE,5,5,FALSE,"UNCHANGED","COMPLETE","UNCHANGED",0
"EDGE_2004_VCF0806_VCF0839",2004,"VCF0806","VCF0839",0.202102045526152,TRUE,4,4,FALSE,"UNCHANGED","COMPLETE","UNCHANGED",0.0384928049917369
"EDGE_2004_VCF0806_VCF0879a",2004,"VCF0806","VCF0879a",0.0181396986119873,TRUE,5,5,FALSE,"UNCHANGED","COMPLETE","UNCHANGED",0.0191169394984261
"EDGE_2004_VCF0806_VCF0888",2004,"VCF0806","VCF0888",-0.0229081218231701,TRUE,5,5,FALSE,"CHANGED","COMPLETE","CHANGED",0.0229081218231701
"EDGE_2004_VCF0806_VCF0890",2004,"VCF0806","VCF0890",0.112679497729288,TRUE,5,5,FALSE,"UNCHANGED","COMPLETE","UNCHANGED",0.0881711383507573
"EDGE_2004_VCF0806_VCF0894",2004,"VCF0806","VCF0894",0,FALSE,5,5,FALSE,"UNCHANGED","COMPLETE","UNCHANGED",0
"EDGE_2004_VCF0806_VCF9223",2004,"VCF0806","VCF9223",0,FALSE,5,5,FALSE,"CHANGED","COMPLETE","CHANGED",0.0154627808465256
"EDGE_2004_VCF0809_VCF0838",2004,"VCF0809","VCF0838",0.055711694432488,TRUE,5,5,FALSE,"UNCHANGED","COMPLETE","UNCHANGED",0.0240023410112047
"EDGE_2004_VCF0809_VCF0839",2004,"VCF0809","VCF0839",0.109000188940431,TRUE,4,4,FALSE,"UNCHANGED","COMPLETE","UNCHANGED",0.029885432199447
"EDGE_2004_VCF0809_VCF0879a",2004,"VCF0809","VCF0879a",0,FALSE,5,5,FALSE,"UNCHANGED","COMPLETE","UNCHANGED",0
"EDGE_2004_VCF0809_VCF0888",2004,"VCF0809","VCF0888",-0.0294227504442804,TRUE,5,5,FALSE,"CHANGED","COMPLETE","CHANGED",0.0294227504442804
