"Module_ID","Variant","Wave","Compared_edges","Edge_weight_correlation","Median_absolute_edge_difference","Mean_absolute_edge_difference","Maximum_absolute_edge_difference","Primary_retained_edges","Sensitivity_retained_edges","Common_retained_edges","Retained_edge_union","Retained_edge_Jaccard","Sign_agreement_common_retained","Sign_reversals_common_retained","Primary_global_strength","Sensitivity_global_strength","Global_strength_difference","Estimation_status"
"S09_D11","PAIRWISE_AVAILABLE",2004,36,0.990133785465004,0.010855443020802,0.0124415652407319,0.0575947464299319,25,25,24,26,0.923076923076923,1,0,3.27385693104573,3.11301114171887,-0.160845789326862,"ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2012,36,0.993635017576542,0.0116265363473982,0.0122186973790747,0.0310551983398565,32,35,32,35,0.914285714285714,1,0,3.9598312246387,3.99734566765573,0.0375144430170278,"ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2016,36,0.988072552138619,0.0113240937381237,0.0150467642661776,0.0425277751803882,32,31,30,33,0.909090909090909,1,0,4.07371785353382,3.7975175535965,-0.276200299937324,"ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2020,36,0.992978180723832,0.0104746721501068,0.012503352627517,0.0439973117411155,32,34,32,34,0.941176470588235,1,0,4.2104926353547,4.23734402300005,0.0268513876453502,"ESTIMABLE_WITH_WARNINGS"
"S09_D11","PAIRWISE_AVAILABLE",2024,36,0.993520707736593,0.00979303186610369,0.0101101314959997,0.0388486310233497,33,33,33,33,1,1,0,4.09677422904485,4.07960637012544,-0.0171678589194144,"ESTIMABLE_WITH_WARNINGS"
"S09_D20A_GAMMA","GAMMA_025",2004,36,1,0,0,0,25,25,25,25,1,1,0,3.27385693104573,3.27385693104573,0,"ESTIMABLE_WITH_WARNINGS"
"S09_D20A_GAMMA","GAMMA_025",2012,36,1,0,0,0,32,32,32,32,1,1,0,3.9598312246387,3.9598312246387,0,"ESTIMABLE_WITH_WARNINGS"
"S09_D20A_GAMMA","GAMMA_025",2016,36,1,0,0,0,32,32,32,32,1,1,0,4.07371785353382,4.07371785353382,0,"ESTIMABLE_WITH_WARNINGS"
"S09_D20A_GAMMA","GAMMA_025",2020,36,1,0,0,0,32,32,32,32,1,1,0,4.2104926353547,4.2104926353547,0,"ESTIMABLE_WITH_WARNINGS"
"S09_D20A_GAMMA","GAMMA_025",2024,36,1,0,0,0,33,33,33,33,1,1,0,4.09677422904485,4.09677422904485,0,"ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2004,28,0.986520367646034,0.0108781781703532,0.0196207928470868,0.0881711383507573,19,21,19,21,0.904761904761905,1,0,,,,"ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2012,28,0.980749710983591,0.00683416433155538,0.0201372307806739,0.103325031732698,25,24,24,25,0.96,1,0,,,,"ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2016,28,0.981401113005065,0.00867739295062899,0.020960618208386,0.0979360138798785,25,25,25,25,1,1,0,,,,"ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2020,28,0.985010546532896,0.00227519670320552,0.0176787686254195,0.0835226932305231,26,26,26,26,1,1,0,,,,"ESTIMABLE_WITH_WARNINGS"
"S09_D20A_NO_VCF0839","NO_VCF0839",2024,28,0.982037582909149,0.00494627759955674,0.0200140033160393,0.0874014294155117,26,26,26,26,1,1,0,,,,"ESTIMABLE_WITH_WARNINGS"
"S09_D15_WEIGHT","W_CDF",2004,36,0.989788931595717,0.00528537318052286,0.01179340085055,0.0476402050162022,25,24,23,26,0.884615384615385,1,0,3.27385693104573,3.27244895558875,-0.00140797545698135,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_POST_COMPAT",2004,36,0.990160294375292,0.00481786499744064,0.0116444482914561,0.0444995625435269,25,24,23,26,0.884615384615385,1,0,3.27385693104573,3.28904329831802,0.0151863672722912,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_CDF",2012,36,0.990012909578524,0.0135545071625707,0.0148067280502985,0.0356134084603727,32,31,30,33,0.909090909090909,1,0,3.9598312246387,3.93241199226734,-0.0274192323713658,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_POST_COMPAT",2012,36,0.990012909578524,0.0135545071625707,0.0148067280502985,0.0356134084603727,32,31,30,33,0.909090909090909,1,0,3.9598312246387,3.93241199226734,-0.0274192323713658,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_CDF",2016,36,0.988379499168577,0.0112370973895308,0.0148844032932091,0.0474845665732456,32,31,30,33,0.909090909090909,1,0,4.07371785353382,3.89375482866491,-0.179963024868912,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_POST_COMPAT",2016,36,0.988463535666888,0.0114076377105016,0.0147252060381247,0.043185291042731,32,31,30,33,0.909090909090909,1,0,4.07371785353382,3.90301115948259,-0.170706694051235,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_CDF",2020,36,0.993606908472117,0.0119409143688267,0.0120779884459296,0.036682291421093,32,30,30,32,0.9375,1,0,4.2104926353547,4.13598922111814,-0.074503414236557,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_POST_COMPAT",2020,36,0.988683081086079,0.0137227648469449,0.0162502552433475,0.0425410510914744,32,32,31,33,0.939393939393939,1,0,4.2104926353547,4.21089730599235,0.000404670637649929,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_CDF",2024,36,0.970957798676324,0.019879370425521,0.0220818727745408,0.0746052594179811,33,31,30,34,0.882352941176471,1,0,4.09677422904485,4.14987610150341,0.0531018724585604,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D15_WEIGHT","W_POST_COMPAT",2024,36,0.972434687478383,0.0200275133698316,0.0223849260588483,0.0680775656205737,33,31,30,34,0.882352941176471,1,0,4.09677422904485,4.10205183834471,0.0052776092998581,"REUSED_VALIDATED_POINT_NETWORK"
"S09_D19_MODE","ALL_INTERNET",2012,36,0.991014254973569,0.0106730217099974,0.0146564036007799,0.0423469118535727,32,32,30,34,0.882352941176471,1,0,3.9598312246387,4.01659691657211,0.0567656919334096,"ESTIMABLE_WITH_WARNINGS"
"S09_D19_MODE","ALL_INTERNET",2016,36,0.990965050947017,0.00991502129731497,0.0138010450663264,0.0461882850995368,32,35,32,35,0.914285714285714,1,0,4.07371785353382,4.1608130767521,0.0870952232182773,"ESTIMABLE_WITH_WARNINGS"
"S09_D19_MODE","ALL_INTERNET",2020,36,0.999408605915963,0.00250010142372367,0.00344793301837089,0.011057812019194,32,33,32,33,0.96969696969697,1,0,4.2104926353547,4.21223220934159,0.00173957398689328,"ESTIMABLE_WITH_WARNINGS"
"S09_D19_MODE","ALL_INTERNET",2024,36,0.995138722642811,0.00608577670083459,0.00849478570203832,0.0349838376616896,33,32,32,33,0.96969696969697,1,0,4.09677422904485,4.11470273020399,0.0179285011591404,"ESTIMABLE_WITH_WARNINGS"
