"variable","pdf_pages","substantive_codes","source_2004","source_2008","source_2012","source_2016","source_2020","source_2024","review_status","review_note"
"VCF0806","346-347","1|2|3|4|5|6|7","V043150","V083119","inspre_self","V161184","V201252","V241245","VERIFIED_WITH_DESIGN_NOTES","Government health insurance: original high values prefer private insurance. The 2008 OLD half-sample uses the comparable version; NEW uses an alternative version."
"VCF0809","347-348","1|2|3|4|5|6|7","V043152","V083128","guarpr_self","V161189","V201255","V241252","VERIFIED_WITH_DESIGN_NOTES","Government jobs/living standards responsibility: original high values prefer individual responsibility. The 2008 OLD half-sample uses the comparable version; NEW uses an alternative version."
"VCF0830","360-361","1|2|3|4|5|6|7","V043158","V083137","NOT_DOCUMENTED_IN_VARIABLE_SECTION","V161198","V201258","V241255","SOURCE_GAP_AND_LEGACY_REASON_REVIEW","The 2012 Sources entry is absent despite observed CDF values. Historical wording differences in 1986/1988 do not alone establish poor comparability in 2004-2024. Source provenance requires further single-wave verification."
"VCF0838","363-364","1|2|3|4","V045132","V085086","abortpre_4point","V161232","V201336","V241302","VERIFIED_WITH_DESIGN_NOTES","Four ordered substantive abortion categories; original high values are more permissive. In 2008 NEW uses branching questions; in 2016 web cases lack the Other option."
"VCF0839","364-365","1|2|3|4|5|6|7","V043136","V083105","spsrvpr_ssself","V161178","V201246","V241239","VERIFIED_WITH_DESIGN_NOTES","General government services/spending explicitly mentions health and education. The 2004 CDF uses the pre-election version. In 2008 NEW uses a branching series."
"VCF0843","367","1|2|3|4|5|6|7","V043142","V083112","INCOMPARABLE_2012_SCALE_DOCUMENTED","V161181","V201249","V241242","LEGACY_NONADMINISTRATION_WORDING_REQUIRES_CORRECTION","The official note says the 2012 seven-point scale is incomparable, not that the question was never administered. This CDF field has no substantive 2012 observations. In 2008 NEW uses a branching series."
"VCF0888","392-394","1|2|3","V043168","V083144_PRIOR_REPAIR_CDF_PRINTS_V083148","fedspend_crime","V161208","V201309","V241270","VERIFIED_WITH_PRIOR_MAPPING_REPAIR","Crime spending: codes 1/2/3; code 3 includes cut out entirely before 2012. The prior 2008 source repair is documented in ANES_SOURCE_MAPPING_EVIDENCE_G02B.csv; respondent-level source matching is not rerun here."
"VCF0890","392|394-395","1|2|3","V043166","V083142","fedspend_schools","V161206","V201303","V241264","VERIFIED_WITH_DESIGN_NOTES","Public-school spending: codes 1/2/3; code 3 includes cut out entirely before 2012. Question order varies across years according to the common spending notes."
"VCF0894","392|396-397","1|2|3","V043169","V083145","fedspend_welfare","V161209","V201312","V241273","VERIFIED_WITH_DESIGN_NOTES","Welfare-programme spending, not the separate aid-to-the-poor item. Codes 1/2/3; code 3 includes cut out entirely before 2012."
"VCF9047","392|519","1|2|3|7","NOT_DOCUMENTED_IN_VARIABLE_SECTION","V083151_QUESTION_BLOCK_YEAR_LINK_REQUIRES_SINGLE_WAVE_CHECK","fedspend_enviro_QUESTION_BLOCK","V161212","V201321","V241282","LEGACY_2012_SOURCE_REASON_REQUIRES_CORRECTION","The official Question block explicitly lists 2012: fedspend_enviro although Sources omits the year. The 2004 field is entirely system missing. Code 7 remains a substantive volunteered response; it is not merged or discarded."
"VCF9049","392|520","1|2|3|7","V043165","NOT_DOCUMENTED_IN_VARIABLE_SECTION","fedspend_ss","V161205","V201300","V241261","CURRENT_SCOPE_DECISION_NOT_HISTORICAL_RECONSTRUCTION","All five primary years have documented sources and substantive observations. Code 7 is a separate substantive volunteered response. Historical exclusion rationale is not recovered; the current scope disposition is preserved without claiming data infeasibility."
"VCF0879a","388-389","1|3|5","V045115","V085082","immigpo_level","V162157","V202232","V242227_PRIOR_REPAIR_CDF_PRINTS_V242228","VERIFIED_WITH_PRIOR_MAPPING_REPAIR","The title says 4-category but one is DK: substantive codes are only 1/3/5. Prior 2024 source repair uses V242227; its earlier respondent-level matching is not repeated in this audit."
"VCF9223","590","1|2|3|4","V045116","V085083","immigpo_jobs","V162158","V202233","V242228","VERIFIED_WITH_DESIGN_NOTES","Higher original values mean lower perceived immigration employment threat. The first listed source year is 2004, constraining the common start of this fixed nine-node set."
"VCF0301","117-118","1|2|3|4|5|6|7","V043116","V083098x","pid_x","V161158x","V201231x","V241226_and_V241227x","VERIFIED_SCOPE_EXCLUSION_NOT_TECHNICAL_FAILURE","A constructed seven-category party-identification measure with sources in all six years. Its exclusion concerns policy-versus-identity scope, not data unavailability."
"VCF0803","344","1|2|3|4|5|6|7","V045117","V083069","libcpre_self","V162171","V201200","V241177","VERIFIED_SCOPE_EXCLUSION_WITH_MODE_NOTE","Liberal-conservative self-placement is outside the selected policy-item scope. The 2012 web questionnaire omitted the haven't-thought option; code 9 is non-substantive even when printed under Valid."
"VCF0846","368-369","1|2","V043219","V083181","relig_import","V161241","V201433","V241420","LEGACY_BINARY_CODING_WORDING_REQUIRES_CORRECTION","CDF substantive coding is 1/2 throughout these years. The 2020 source question's five categories were officially collapsed into the existing binary CDF coding. It is not a policy attitude; binary coding alone is not a validity failure."
