"Variable","Year","Main_n","Independent_n","Difference"
"VCF0806",2004,1112,1112,0
"VCF0806",2008,1044,1044,0
"VCF0806",2012,5471,5471,0
"VCF0806",2016,3765,3765,0
"VCF0806",2020,7352,7352,0
"VCF0806",2024,4778,4778,0
"VCF0809",2004,1103,1103,0
"VCF0809",2008,1024,1024,0
"VCF0809",2012,5476,5476,0
"VCF0809",2016,3773,3773,0
"VCF0809",2020,7322,7322,0
"VCF0809",2024,4742,4742,0
"VCF0830",2004,1073,1073,0
"VCF0830",2008,1923,1923,0
"VCF0830",2012,5188,5188,0
"VCF0830",2016,3753,3753,0
"VCF0830",2020,7403,7403,0
"VCF0830",2024,4782,4782,0
"VCF0838",2004,1047,1047,0
"VCF0838",2008,1031,1031,0
"VCF0838",2012,5855,5855,0
"VCF0838",2016,4207,4207,0
"VCF0838",2020,7900,7900,0
"VCF0838",2024,5021,5021,0
"VCF0839",2004,1060,1060,0
"VCF0839",2008,953,953,0
"VCF0839",2012,5241,5241,0
"VCF0839",2016,3627,3627,0
"VCF0839",2020,7067,7067,0
"VCF0839",2024,4751,4751,0
"VCF0843",2004,1061,1061,0
"VCF0843",2008,963,963,0
"VCF0843",2012,0,0,0
"VCF0843",2016,3683,3683,0
"VCF0843",2020,7138,7138,0
"VCF0843",2024,4587,4587,0
"VCF0888",2004,1198,1198,0
"VCF0888",2008,2290,2290,0
"VCF0888",2012,5861,5861,0
"VCF0888",2016,4247,4247,0
"VCF0888",2020,8227,8227,0
"VCF0888",2024,5246,5246,0
"VCF0890",2004,1201,1201,0
"VCF0890",2008,2295,2295,0
"VCF0890",2012,5881,5881,0
"VCF0890",2016,4247,4247,0
"VCF0890",2020,8251,8251,0
"VCF0890",2024,5250,5250,0
"VCF0894",2004,1190,1190,0
"VCF0894",2008,2275,2275,0
"VCF0894",2012,5848,5848,0
"VCF0894",2016,4228,4228,0
"VCF0894",2020,8223,8223,0
"VCF0894",2024,5223,5223,0
"VCF9047",2004,0,0,0
"VCF9047",2008,2289,2289,0
"VCF9047",2012,5882,5882,0
"VCF9047",2016,4239,4239,0
"VCF9047",2020,8254,8254,0
"VCF9047",2024,5249,5249,0
"VCF9049",2004,1191,1191,0
"VCF9049",2008,2280,2280,0
"VCF9049",2012,5850,5850,0
"VCF9049",2016,4239,4239,0
"VCF9049",2020,8240,8240,0
"VCF9049",2024,5238,5238,0
"VCF0879a",2004,1047,1047,0
"VCF0879a",2008,2061,2061,0
"VCF0879a",2012,5390,5390,0
"VCF0879a",2016,3621,3621,0
"VCF0879a",2020,7350,7350,0
"VCF0879a",2024,4898,4898,0
"VCF9223",2004,1059,1059,0
"VCF9223",2008,2082,2082,0
"VCF9223",2012,5451,5451,0
"VCF9223",2016,3629,3629,0
"VCF9223",2020,7389,7389,0
"VCF9223",2024,4722,4722,0
"VCF0301",2004,1195,1195,0
"VCF0301",2008,2282,2282,0
"VCF0301",2012,5890,5890,0
"VCF0301",2016,4247,4247,0
"VCF0301",2020,8245,8245,0
"VCF0301",2024,5483,5483,0
"VCF0803",2004,920,920,0
"VCF0803",2008,1626,1626,0
"VCF0803",2012,5300,5300,0
"VCF0803",2016,3303,3303,0
"VCF0803",2020,7056,7056,0
"VCF0803",2024,4732,4732,0
"VCF0846",2004,1203,1203,0
"VCF0846",2008,2309,2309,0
"VCF0846",2012,5882,5882,0
"VCF0846",2016,4243,4243,0
"VCF0846",2020,8249,8249,0
"VCF0846",2024,5494,5494,0
