"Candidate_order","Variable","Label","Construct","Pool_membership","Variable_exists","Raw_gate_pass_years","Primary_years_checked","Minimum_substantive_n","Maximum_substantive_n","Primary_year_source_gaps","Existing_project_role","Existing_project_decision_status","Codebook_PDF_pages","Evidence_review","Current_evidence_note","Automatic_final_node_selection"
1,"VCF0806","Government health insurance","policy attitude","RESEARCHER_SPECIFIED_RECORDED_POOL",TRUE,5,5,1112,7352,"","PRIMARY_NODE","FROZEN_VERIFIED","346-347","VERIFIED_WITH_DESIGN_NOTES","Government health insurance: original high values prefer private insurance. The 2008 OLD half-sample uses the comparable version; NEW uses an alternative version.",FALSE
2,"VCF0809","Government responsibility for jobs and living standards","policy attitude","RESEARCHER_SPECIFIED_RECORDED_POOL",TRUE,5,5,1103,7322,"","PRIMARY_NODE","FROZEN_VERIFIED","347-348","VERIFIED_WITH_DESIGN_NOTES","Government jobs/living standards responsibility: original high values prefer individual responsibility. The 2008 OLD half-sample uses the comparable version; NEW uses an alternative version.",FALSE
3,"VCF0830","Aid to Black people","policy attitude","RESEARCHER_SPECIFIED_RECORDED_POOL",TRUE,5,5,1073,7403,"2012","EXCLUDED","MEASUREMENT_GATE_NOT_MET","360-361","SOURCE_GAP_AND_LEGACY_REASON_REVIEW","The 2012 Sources entry is absent despite observed CDF values. Historical wording differences in 1986/1988 do not alone establish poor comparability in 2004-2024. Source provenance requires further single-wave verification.",FALSE
4,"VCF0838","Legal availability of abortion","policy attitude","RESEARCHER_SPECIFIED_RECORDED_POOL",TRUE,5,5,1047,7900,"","PRIMARY_NODE","FROZEN_VERIFIED","363-364","VERIFIED_WITH_DESIGN_NOTES","Four ordered substantive abortion categories; original high values are more permissive. In 2008 NEW uses branching questions; in 2016 web cases lack the Other option.",FALSE
5,"VCF0839","Government services and spending","policy attitude","RESEARCHER_SPECIFIED_RECORDED_POOL",TRUE,5,5,1060,7067,"","PRIMARY_NODE","FROZEN_VERIFIED","364-365","VERIFIED_WITH_DESIGN_NOTES","General government services/spending explicitly mentions health and education. The 2004 CDF uses the pre-election version. In 2008 NEW uses a branching series.",FALSE
6,"VCF0843","Defence spending","policy attitude","RESEARCHER_SPECIFIED_RECORDED_POOL",TRUE,4,5,0,7138,"","EXCLUDED","MEASUREMENT_GATE_NOT_MET","367","LEGACY_NONADMINISTRATION_WORDING_REQUIRES_CORRECTION","The official note says the 2012 seven-point scale is incomparable, not that the question was never administered. This CDF field has no substantive 2012 observations. In 2008 NEW uses a branching series.",FALSE
7,"VCF0888","Federal spending on dealing with crime","policy attitude","RESEARCHER_SPECIFIED_RECORDED_POOL",TRUE,5,5,1198,8227,"","PRIMARY_NODE","FROZEN_VERIFIED","392-394","VERIFIED_WITH_PRIOR_MAPPING_REPAIR","Crime spending: codes 1/2/3; code 3 includes cut out entirely before 2012. The prior 2008 source repair is documented in ANES_SOURCE_MAPPING_EVIDENCE_G02B.csv; respondent-level source matching is not rerun here.",FALSE
8,"VCF0890","Federal spending on public schools","policy attitude","RESEARCHER_SPECIFIED_RECORDED_POOL",TRUE,5,5,1201,8251,"","PRIMARY_NODE","FROZEN_VERIFIED","392|394-395","VERIFIED_WITH_DESIGN_NOTES","Public-school spending: codes 1/2/3; code 3 includes cut out entirely before 2012. Question order varies across years according to the common spending notes.",FALSE
9,"VCF0894","Federal spending on welfare programmes","policy attitude","RESEARCHER_SPECIFIED_RECORDED_POOL",TRUE,5,5,1190,8223,"","PRIMARY_NODE","FROZEN_VERIFIED","392|396-397","VERIFIED_WITH_DESIGN_NOTES","Welfare-programme spending, not the separate aid-to-the-poor item. Codes 1/2/3; code 3 includes cut out entirely before 2012.",FALSE
10,"VCF9047","Federal spending on the environment","policy attitude","RESEARCHER_SPECIFIED_RECORDED_POOL",TRUE,4,5,0,8254,"2004","EXCLUDED","MEASUREMENT_GATE_NOT_MET","392|519","LEGACY_2012_SOURCE_REASON_REQUIRES_CORRECTION","The official Question block explicitly lists 2012: fedspend_enviro although Sources omits the year. The 2004 field is entirely system missing. Code 7 remains a substantive volunteered response; it is not merged or discarded.",FALSE
