"Variable","Year","Raw_code","Raw_label","N","Response_class"
"VCF0806",2004,0,"0. NA; Form II (1972); version NEW (2008); no Post IW;",1,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2004,1,"1. Government insurance plan",220,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2004,2,"UNLABELLED_IN_DTA",139,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2004,3,"UNLABELLED_IN_DTA",150,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2004,4,"UNLABELLED_IN_DTA",216,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2004,5,"UNLABELLED_IN_DTA",165,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2004,6,"UNLABELLED_IN_DTA",124,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2004,7,"7. Private insurance plan",98,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2004,9,"9. DK; haven't thought much about it",99,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2008,0,"0. NA; Form II (1972); version NEW (2008); no Post IW;",1168,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2008,1,"1. Government insurance plan",271,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2008,2,"UNLABELLED_IN_DTA",134,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2008,3,"UNLABELLED_IN_DTA",126,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2008,4,"UNLABELLED_IN_DTA",187,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2008,5,"UNLABELLED_IN_DTA",124,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2008,6,"UNLABELLED_IN_DTA",90,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2008,7,"7. Private insurance plan",112,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2008,9,"9. DK; haven't thought much about it",110,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2012,0,"0. NA; Form II (1972); version NEW (2008); no Post IW;",3,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2012,1,"1. Government insurance plan",868,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2012,2,"UNLABELLED_IN_DTA",612,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2012,3,"UNLABELLED_IN_DTA",659,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2012,4,"UNLABELLED_IN_DTA",1087,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2012,5,"UNLABELLED_IN_DTA",741,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2012,6,"UNLABELLED_IN_DTA",775,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2012,7,"7. Private insurance plan",729,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2012,9,"9. DK; haven't thought much about it",440,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2016,0,"0. NA; Form II (1972); version NEW (2008); no Post IW;",13,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2016,1,"1. Government insurance plan",640,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2016,2,"UNLABELLED_IN_DTA",389,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2016,3,"UNLABELLED_IN_DTA",393,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2016,4,"UNLABELLED_IN_DTA",745,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2016,5,"UNLABELLED_IN_DTA",477,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
