"Variable","Year","Year_role","Total_n","Substantive_n","Substantive_pct","System_missing_n","Outside_substantive_scale_n","Observed_substantive_categories","Observed_substantive_codes","Specified_substantive_codes","Source_entry","Source_status","Codebook_PDF_pages","Raw_availability_gate","Previous_audit_valid_n","Difference_from_previous_n","Scope_note"
"VCF0806",2004,"PRIMARY_YEAR",1212,1112,91.7491749174917,0,100,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V043150","SOURCE_DOCUMENTED_IN_CDF_SECTION","346-347",TRUE,1112,0,"Raw availability is not proof of measurement comparability."
"VCF0806",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,1044,44.9612403100775,0,1278,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V083119","SOURCE_DOCUMENTED_IN_CDF_SECTION","346-347",TRUE,1044,0,"Raw availability is not proof of measurement comparability."
"VCF0806",2012,"PRIMARY_YEAR",5914,5471,92.5092999661819,0,443,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","inspre_self","SOURCE_DOCUMENTED_IN_CDF_SECTION","346-347",TRUE,5471,0,"Raw availability is not proof of measurement comparability."
"VCF0806",2016,"PRIMARY_YEAR",4270,3765,88.1733021077283,0,505,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V161184","SOURCE_DOCUMENTED_IN_CDF_SECTION","346-347",TRUE,3765,0,"Raw availability is not proof of measurement comparability."
"VCF0806",2020,"PRIMARY_YEAR",8280,7352,88.792270531401,0,928,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V201252","SOURCE_DOCUMENTED_IN_CDF_SECTION","346-347",TRUE,7352,0,"Raw availability is not proof of measurement comparability."
"VCF0806",2024,"PRIMARY_YEAR",5521,4778,86.5422930628509,0,743,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V241245","SOURCE_DOCUMENTED_IN_CDF_SECTION","346-347",TRUE,4778,0,"Raw availability is not proof of measurement comparability."
"VCF0809",2004,"PRIMARY_YEAR",1212,1103,91.006600660066,0,109,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V043152","SOURCE_DOCUMENTED_IN_CDF_SECTION","347-348",TRUE,1103,0,"Raw availability is not proof of measurement comparability."
"VCF0809",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,1024,44.0999138673557,0,1298,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V083128","SOURCE_DOCUMENTED_IN_CDF_SECTION","347-348",TRUE,1024,0,"Raw availability is not proof of measurement comparability."
"VCF0809",2012,"PRIMARY_YEAR",5914,5476,92.5938451132905,0,438,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","guarpr_self","SOURCE_DOCUMENTED_IN_CDF_SECTION","347-348",TRUE,5476,0,"Raw availability is not proof of measurement comparability."
"VCF0809",2016,"PRIMARY_YEAR",4270,3773,88.3606557377049,0,497,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V161189","SOURCE_DOCUMENTED_IN_CDF_SECTION","347-348",TRUE,3773,0,"Raw availability is not proof of measurement comparability."
