"indicator","value","interpretation"
"total_2008_sample","2322","All 2008 CDF respondents."
"valid_on_all_four_split_form_nodes","756","Only respondents with substantive responses on VCF0806, VCF0809, VCF0838 and VCF0839."
"nine_node_complete_cases","724","The uniquely restricted nine-node complete-case subset used only for historical feasibility auditing."
"nine_nodes_plus_valid_education","721","Nine-node complete cases with valid education coding."
"no_college_complete_cases","542","Historical education diagnostic only."
"college_plus_complete_cases","179","Historical education diagnostic only; this small group is not analysed in the dissertation."
"overall_pairs_with_zero_cells","5","Sparse-cell diagnostic, not an automatic exclusion threshold."
"overall_pairs_with_cells_below_5","13","Sparse-cell diagnostic, not an automatic exclusion threshold."
"college_plus_pairs_with_zero_cells","17","Evidence of severe subgroup sparsity."
"college_plus_pairs_with_cells_below_5","35","Evidence of severe subgroup sparsity."
"overall_polychoric_matrix_positive_definite","TRUE","Confirms that 2008 was not excluded because the overall matrix was mathematically unusable."
"overall_polychoric_estimation_warnings","none","Confirms that matrix estimation did not itself trigger the final exclusion."
"final_analytical_role","EXCLUDED_DIAGNOSTICS_ONLY","Researcher-approved comparability and scope decision; the former 2008 sensitivity was withdrawn."
