"Node_1","Node_2","Pair_key","Edge_label"
"VCF0806","VCF0809","1|2","HEA - JOB"
"VCF0806","VCF0838","1|3","HEA - ABO"
"VCF0806","VCF0839","1|4","HEA - SER"
"VCF0806","VCF0879a","1|5","HEA - IMM"
"VCF0806","VCF0888","1|6","HEA - CRI"
"VCF0806","VCF0890","1|7","HEA - SCH"
"VCF0806","VCF0894","1|8","HEA - WEL"
"VCF0806","VCF9223","1|9","HEA - LJT"
"VCF0809","VCF0838","2|3","JOB - ABO"
"VCF0809","VCF0839","2|4","JOB - SER"
"VCF0809","VCF0879a","2|5","JOB - IMM"
"VCF0809","VCF0888","2|6","JOB - CRI"
"VCF0809","VCF0890","2|7","JOB - SCH"
"VCF0809","VCF0894","2|8","JOB - WEL"
"VCF0809","VCF9223","2|9","JOB - LJT"
"VCF0838","VCF0839","3|4","ABO - SER"
"VCF0838","VCF0879a","3|5","ABO - IMM"
"VCF0838","VCF0888","3|6","ABO - CRI"
"VCF0838","VCF0890","3|7","ABO - SCH"
"VCF0838","VCF0894","3|8","ABO - WEL"
"VCF0838","VCF9223","3|9","ABO - LJT"
"VCF0839","VCF0879a","4|5","SER - IMM"
"VCF0839","VCF0888","4|6","SER - CRI"
"VCF0839","VCF0890","4|7","SER - SCH"
"VCF0839","VCF0894","4|8","SER - WEL"
"VCF0839","VCF9223","4|9","SER - LJT"
"VCF0879a","VCF0888","5|6","IMM - CRI"
"VCF0879a","VCF0890","5|7","IMM - SCH"
"VCF0879a","VCF0894","5|8","IMM - WEL"
"VCF0879a","VCF9223","5|9","IMM - LJT"
"VCF0888","VCF0890","6|7","CRI - SCH"
"VCF0888","VCF0894","6|8","CRI - WEL"
"VCF0888","VCF9223","6|9","CRI - LJT"
"VCF0890","VCF0894","7|8","SCH - WEL"
"VCF0890","VCF9223","7|9","SCH - LJT"
"VCF0894","VCF9223","8|9","WEL - LJT"
