"Earlier_year","Later_year","Metric","Primary_difference","Full_N_threshold_direction_match","Equal_N_direction_match_proportion","Equal_N_threshold_direction_match_proportion","Joint_minimum_match","Classification"
2004,2012,"Retained_edge_count_difference",7,TRUE,0.524,0.885,0.524,"NOT_ROBUST"
2004,2012,"Global_strength_difference",0.68597429359297,TRUE,0.962,0.997,0.962,"ROBUST"
2012,2016,"Retained_edge_count_difference",0,FALSE,0.067,0.125,0,"NOT_ROBUST"
2012,2016,"Global_strength_difference",0.11388662889512,TRUE,0.818,0.588,0.588,"NOT_ROBUST"
2016,2020,"Retained_edge_count_difference",0,FALSE,0.154,0.08,0,"NOT_ROBUST"
2016,2020,"Global_strength_difference",0.13677478182088,TRUE,0.784,0.882,0.784,"MIXED"
2020,2024,"Retained_edge_count_difference",1,FALSE,0.58,0.525,0,"NOT_ROBUST"
2020,2024,"Global_strength_difference",-0.11371840630985,TRUE,0.643,0.689,0.643,"NOT_ROBUST"
2004,2024,"Retained_edge_count_difference",8,TRUE,0.998,1,0.998,"ROBUST"
2004,2024,"Global_strength_difference",0.82291729799912,TRUE,1,1,1,"ROBUST"
