"Claim_ID","Claim_type","Wave","Node_1","Node_2","Primary_edge_weight","Primary_retained","Primary_sign","D11_applicable","D20A_gamma025_applicable","D20A_no_VCF0839_applicable","D15_W_CDF_applicable","D15_W_POST_COMPAT_applicable","D19_all_internet_applicable","Frozen_before_sensitivity_results","Frozen_date","Source_file"
"EDGE_2004_VCF0806_VCF0809","PRIMARY_EDGE_SIGN_AND_RETENTION",2004,"VCF0806","VCF0809",0.37199407703599,TRUE,"POSITIVE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"2026-08-30","07_formal_five_wave_edge_weights.csv"
"EDGE_2004_VCF0806_VCF0838","PRIMARY_EDGE_SIGN_AND_RETENTION",2004,"VCF0806","VCF0838",0,FALSE,"ZERO",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"2026-08-30","07_formal_five_wave_edge_weights.csv"
"EDGE_2004_VCF0806_VCF0839","PRIMARY_EDGE_SIGN_AND_RETENTION",2004,"VCF0806","VCF0839",0.202102045526152,TRUE,"POSITIVE",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"2026-08-30","07_formal_five_wave_edge_weights.csv"
"EDGE_2004_VCF0806_VCF0879a","PRIMARY_EDGE_SIGN_AND_RETENTION",2004,"VCF0806","VCF0879a",0.0181396986119873,TRUE,"POSITIVE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"2026-08-30","07_formal_five_wave_edge_weights.csv"
"EDGE_2004_VCF0806_VCF0888","PRIMARY_EDGE_SIGN_AND_RETENTION",2004,"VCF0806","VCF0888",-0.0229081218231701,TRUE,"NEGATIVE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"2026-08-30","07_formal_five_wave_edge_weights.csv"
"EDGE_2004_VCF0806_VCF0890","PRIMARY_EDGE_SIGN_AND_RETENTION",2004,"VCF0806","VCF0890",0.112679497729288,TRUE,"POSITIVE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"2026-08-30","07_formal_five_wave_edge_weights.csv"
"EDGE_2004_VCF0806_VCF0894","PRIMARY_EDGE_SIGN_AND_RETENTION",2004,"VCF0806","VCF0894",0,FALSE,"ZERO",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"2026-08-30","07_formal_five_wave_edge_weights.csv"
"EDGE_2004_VCF0806_VCF9223","PRIMARY_EDGE_SIGN_AND_RETENTION",2004,"VCF0806","VCF9223",0,FALSE,"ZERO",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"2026-08-30","07_formal_five_wave_edge_weights.csv"
"EDGE_2004_VCF0809_VCF0838","PRIMARY_EDGE_SIGN_AND_RETENTION",2004,"VCF0809","VCF0838",0.055711694432488,TRUE,"POSITIVE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"2026-08-30","07_formal_five_wave_edge_weights.csv"
"EDGE_2004_VCF0809_VCF0839","PRIMARY_EDGE_SIGN_AND_RETENTION",2004,"VCF0809","VCF0839",0.109000188940431,TRUE,"POSITIVE",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"2026-08-30","07_formal_five_wave_edge_weights.csv"
