"Claim_ID","Claim_type","Wave","Earlier_wave","Later_wave","Node_1","Node_2","Metric","Primary_value","Primary_reference","Primary_direction","A1_applicable","A2_applicable","A3_applicable","Freeze_status","Source_file","Notes"
"EDGE_2004_VCF0806_VCF0809","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0806","VCF0809","EDGE_WEIGHT_AND_RETENTION",0.37199407703599,"RETAINED_POSITIVE","POSITIVE",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
"EDGE_2004_VCF0806_VCF0838","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0806","VCF0838","EDGE_WEIGHT_AND_RETENTION",0,"NOT_RETAINED","ZERO",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
"EDGE_2004_VCF0806_VCF0839","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0806","VCF0839","EDGE_WEIGHT_AND_RETENTION",0.202102045526152,"RETAINED_POSITIVE","POSITIVE",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
"EDGE_2004_VCF0806_VCF0879a","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0806","VCF0879a","EDGE_WEIGHT_AND_RETENTION",0.0181396986119873,"RETAINED_POSITIVE","POSITIVE",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
"EDGE_2004_VCF0806_VCF0888","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0806","VCF0888","EDGE_WEIGHT_AND_RETENTION",-0.0229081218231701,"RETAINED_NEGATIVE","NEGATIVE",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
"EDGE_2004_VCF0806_VCF0890","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0806","VCF0890","EDGE_WEIGHT_AND_RETENTION",0.112679497729288,"RETAINED_POSITIVE","POSITIVE",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
"EDGE_2004_VCF0806_VCF0894","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0806","VCF0894","EDGE_WEIGHT_AND_RETENTION",0,"NOT_RETAINED","ZERO",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
"EDGE_2004_VCF0806_VCF9223","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0806","VCF9223","EDGE_WEIGHT_AND_RETENTION",0,"NOT_RETAINED","ZERO",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
"EDGE_2004_VCF0809_VCF0838","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0809","VCF0838","EDGE_WEIGHT_AND_RETENTION",0.055711694432488,"RETAINED_POSITIVE","POSITIVE",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
"EDGE_2004_VCF0809_VCF0839","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0809","VCF0839","EDGE_WEIGHT_AND_RETENTION",0.109000188940431,"RETAINED_POSITIVE","POSITIVE",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
"EDGE_2004_VCF0809_VCF0879a","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0809","VCF0879a","EDGE_WEIGHT_AND_RETENTION",0,"NOT_RETAINED","ZERO",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
"EDGE_2004_VCF0809_VCF0888","EDGE_SIGN_AND_RETENTION",2004,,,"VCF0809","VCF0888","EDGE_WEIGHT_AND_RETENTION",-0.0294227504442804,"RETAINED_NEGATIVE","NEGATIVE",TRUE,TRUE,TRUE,"PRE_RESULT_FROZEN","step09_primary_claim_registry.csv","Retention and sign are audited mechanically; they are not significance or equivalence claims."
