"Year_comparison","Measure","Primary_difference","A1_direction_match","A2_matching_proportion","A3_matching_proportion","Classification"
"2004-2012","Retained edges","+7","Yes","0.524","0.885","NOT_ROBUST"
"2004-2012","Global strength","+0.686","Yes","0.962","0.997","ROBUST"
"2012-2016","Retained edges","0","No","0.067","0.125","NOT_ROBUST"
"2012-2016","Global strength","+0.114","Yes","0.818","0.588","NOT_ROBUST"
"2016-2020","Retained edges","0","No","0.154","0.080","NOT_ROBUST"
"2016-2020","Global strength","+0.137","Yes","0.784","0.882","MIXED"
"2020-2024","Retained edges","+1","No","0.580","0.525","NOT_ROBUST"
"2020-2024","Global strength","-0.114","Yes","0.643","0.689","NOT_ROBUST"
"2004-2024","Retained edges","+8","Yes","0.998","1.000","ROBUST"
"2004-2024","Global strength","+0.823","Yes","1.000","1.000","ROBUST"
